Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
17.6,7915.818,0,0,17024.22,43091.683
17.8,10676.309,0,1085.765,35613.152,55260.495
18,13280.54,0,14604.85,51151.93,347821.11
18.2,1.64E+04,3.12E+01,8.89E+04,6.99E+04,1.82E+06
18.4,29370.875,9771.587,392095.651,95301.888,2255461.274
18.6,127919.36,37825.08,470963.96,133732.26,2435150.22
18.8,550914.81,71915.28,476561.48,197473.51,2519054.16
19,1074672.87,88074.21,477100.33,247223.73,2572179.58
19.2,1359277.6,111103.1,478882.1,296456.4,2643061.2
19.4,1557638.2,139004.2,489921.1,334460.6,2703801.8
19.6,1721005.7,176284.6,503468.2,374562.7,2738490.7
19.8,1899715.9,291950.5,506852.7,475263.6,2775625.2
20,2120726.3,413172.3,507008.7,541612.8,2843246.8
20.2,2274929.5,430226.6,507008.7,583305.7,2948725.1
20.4,2400459,444528.5,507008.7,625085,2994800
20.6,2504554,445931.4,507008.7,666582.8,3031172.3
20.8,2600950.9,445979.4,507008.7,694312.8,3052407.5
21,2662781.8,445987.4,507008.7,717875.3,3057809.5
21.2,2695955.2,445991.4,507008.7,731138.8,3058745.1
21.4,2712022.6,445991.4,507008.7,737887.2,3058932.1
21.6,2719139.9,445991.4,507008.7,739433.1,3058964.6
21.8,2724629.2,445991.4,507008.7,739445.1,3058984.1
