Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
18.9,0,4328.94986,0,40.26702,22717.57365
19,197.8613,52452.7597,0,4397.6838,366393.7644
19.2,2686.412,64643.466,0,7091.788,401662.069
19.4,8092.367,65332.829,0,13669.922,416027.844
19.6,23796.622,65340.829,1057.668,21234.329,420900.755
19.8,41813.83,65340.829,4098.874,25798.279,422057.871
20,52676.131,65340.829,7113.753,29654.437,423880.651
20.2,61478.385,65340.829,9002.171,31686.363,427311.59
20.4,70153.56,65340.83,10523.53,33415.85,432317.79
20.6,78104.68,65340.83,12212.68,34317.27,434505.49
20.8,85469.44,65340.83,13741.9,34577.25,435521.32
21,91983.32,65340.83,15221.39,34793.75,436063.86
21.2,96202.26,65340.83,16944.72,34870.33,436340.71
21.4,98868.13,65340.83,18596.42,34871.27,436445.17
21.6,101162.26,65340.83,20431.91,34871.27,436498.2
21.8,103150.77,65340.83,21808.51,34871.27,436527.67
22,104351.56,65340.83,22388.42,34871.27,436527.67
22.2,105159.93,65340.83,22562.63,34871.27,436527.67
22.4,105711.33,65340.83,22632.65,34871.27,436527.67
22.6,106078.97,65340.83,22670.92,34871.27,436527.67
22.8,106336.98,65340.83,22705.19,34871.27,436536.83
23,106495.15,65340.83,22759.81,34871.27,436549.48
