Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
15.2,0,0,0,0,0
15.5,0,0,100.5205,510.4553,608.0636
16,0,0,559.6039,2009.0043,239350.5592
16.5,2.16E+01,1.39E+03,3.01E+03,4.99E+04,1.02E+06
17,3834.04,9462.78,7566.17,63080.32,1874585.92
17.5,40924.88,11699.87,10829.92,63593.99,2253800.15
18,198704.73,11699.87,11434.2,63593.99,2436498.64
18.5,447251.58,11699.87,21880.07,63593.99,2643470.26
19,768781.82,11699.87,30022.96,63593.99,2722218.4
19.5,974461.52,11699.87,30381.33,63593.99,2798644.5
