Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
6.311,5.41E+05,5.61E+05,2.90E+05,2.72E+06,1.50E+06
6.607,5.53E+05,5.83E+05,3.04E+05,2.89E+06,1.54E+06
6.8995,6.11E+05,6.27E+05,3.35E+05,3.11E+06,1.62E+06
7.192,6.51E+05,7.12E+05,3.72E+05,3.38E+06,1.73E+06
7.4795,7.23E+05,1.03E+06,4.66E+05,3.80E+06,1.90E+06
7.767,8.40E+05,1.82E+06,6.46E+05,4.36E+06,2.93E+06
8.0495,9.94E+05,2.73E+06,9.17E+05,5.08E+06,4.89E+06
8.332,1.29E+06,5.17E+06,1.56E+06,6.51E+06,6.47E+06
8.6095,2.13E+06,9.44E+06,2.26E+06,8.18E+06,8.48E+06
8.887,3.31E+06,1.52E+07,3.04E+06,9.86E+06,1.06E+07
9.1595,4.51E+06,1.97E+07,3.90E+06,1.11E+07,1.27E+07
9.432,6.10E+06,2.45E+07,5.45E+06,1.25E+07,1.60E+07
9.6995,7.41E+06,2.81E+07,6.72E+06,1.36E+07,1.94E+07
9.967,9.08E+06,3.07E+07,8.08E+06,1.45E+07,2.26E+07
10.4435,1.05E+07,3.18E+07,9.04E+06,1.51E+07,2.48E+07
10.92,1.17E+07,3.27E+07,9.83E+06,1.54E+07,2.64E+07
11.168,1.29E+07,3.33E+07,1.06E+07,1.56E+07,2.83E+07
11.416,1.43E+07,3.38E+07,1.13E+07,1.58E+07,2.93E+07
11.664,1.55E+07,3.40E+07,1.18E+07,1.59E+07,3.01E+07
