Grouping,black box woodland,lignum shrubland,red gum woodland,shrublands
15.0,122128.2,189933.6,469182.5,200301.9
15.1,135133.4,257804.8,537914.1,315803.5
15.2,153347.5,324517.2,603395.2,361554.3
15.3,172847.0,402735.3,663605.7,479506.9
15.4,221332.1,634535.2,739191.3,516418.8
15.5,257282.9,773497.5,788502.5,543219.4
15.6,304955.5,981156.9,823967.6,561126.7
15.7, 361067.5,1096860.8, 889042.1, 580424.7
15.8, 416899.5,1203654.3, 938227.3, 601106.4
15.9, 493452.6,1282665.0, 995731.9, 639607.0
16.0, 571772.2,1354262.6,1038000.4, 670021.7
16.1, 669227.9,1416850.7,1076537.5, 696911.4
16.2, 784109.0,1449756.0,1130909.8, 734440.9
16.3, 880240.4,1471763.5,1165614.7, 770689.9
16.4, 996264.5,1496930.8,1197931.9, 802476.2
