Grouping,black box woodland,lignum shrubland,red gum woodland,shrublands
17,0,0,335.6708,467.0861
17.2,0,0,451.2779,10687.4818
17.4,0,0,962.5934,28290.1088
17.6,0,0,6624.889,35660.319
17.8,0,0,18755.87,74319.54
18,993.9535,117.4782,40321.5212,115363.6407
18.2,3882.043,2936.293,61931.272,123148.027
18.4,7864.351,6348.745,83094.88,141198.191
18.6,19414.83,25706.06,120301.96,257243.6
18.8,54809.82,45826.77,178057.6,377723.62
19,102378.8,60443.01,229104.43,447101.28
19.2,152498.12,71717.14,272456.63,489380.86
19.4,198805.37,88153.28,306497.74,529561.34
19.6,244903.24,97891.03,334007.01,587569.66
19.8,306836.8,104219.1,361559.3,733784.6
20,434618.2,109202.7,391422.3,946633.7
20.2,578643.7,109324.1,431406.9,1041668.6
20.4,776934.6,109324.1,467364.4,1064090.4
20.6,1080820.3,109324.1,497862.5,1065369.7
20.8,1221403.4,109324.1,519086.1,1065719.4
21,1290939.2,109324.1,533407.4,1066071.2
21.2,1329451.8,109324.1,540617.6,1066509.3
21.4,1335491,109324.1,545158.4,1067605.9
21.6,1336322.7,109324.1,549448.5,1069305.5
21.8,1336990.9,109324.1,552337.9,1070938.4
22,1337670.6,109324.1,554411.2,1072141.9
