Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
17,0,0,0,18295.379,2237.667
17.2,0,0,0,22899.643,4078.869
17.4,0,0,0,30471.279,9485.621
17.6,0,228.3933,0,39587.8066,25010.6546
17.8,1278.767,14356.757,0,53981.392,40736.82
18,7662.93628,54803.1988,19.26074,70741.21816,53023.1977
18.2,13638.3824,130356.5488,191.0534,88845.2661,81249.7197
18.4,20000.9932,239119.5563,471.0124,104985.3001,136528.8691
18.6,31369.0626,745249.4144,712.7255,126093.6937,302913.2404
18.8,57259.5517,1243405.671,992.1627,170975.7889,703288.537
19,145091.202,1728460.407,1259.267,235540.789,1028992.808
19.2,343884.936,2197085.248,1558.337,276997.513,1205637.358
19.4,630811.593,2698635.405,1856.318,311806.63,1349953.145
19.6,877074.823,3161394.364,2225.924,349520.649,1612061.339
19.8,1143030.275,3408125.132,2678.864,381551.59,2066719.795
20,1467901.328,3469914.709,3234.914,409564.421,2374447.226
20.2,1865491.94,3473313.514,3906.675,424779.039,2594960.354
20.4,2191874.811,3474465.675,4768.898,439597.412,2881433.499
20.6,2612350.073,3474746.181,5981.335,451298.388,3156207.979
20.8,3041516.723,3474790.417,7294.068,456891.879,3444380.806
21,3381171.391,3474814.495,9765.894,458476.352,3650703.498
21.2,3600873.17,3474829.09,12714.93,459059.23,3737276.64
21.4,3769522.62,3474829.09,15872.88,459310.88,3776605.45
21.6,3893126.33,3474829.09,17949.54,459390.21,3804489.52
21.8,3966516.54,3474829.09,19722.15,459390.21,3842694.56
22,4002516.27,3474829.09,23790.68,459390.21,3883381.34
