Date,1978QSA
1/05/2017,3055
2/05/2017,3655.547
3/05/2017,4186.211
4/05/2017,3860.82
5/05/2017,3866.914
6/05/2017,3961.133
7/05/2017,3828.125
8/05/2017,3466.328
9/05/2017,3498.594
10/05/2017,4094.102
11/05/2017,4964.219
12/05/2017,5352.383
13/05/2017,4902.266
14/05/2017,4808.672
15/05/2017,4169.102
16/05/2017,3790.43
17/05/2017,3999.023
18/05/2017,4314.531
19/05/2017,4431.367
20/05/2017,4574.336
21/05/2017,4681.445
22/05/2017,4500.078
23/05/2017,4252.227
24/05/2017,4554.648
25/05/2017,5216.094
26/05/2017,5602.969
27/05/2017,5057.461
28/05/2017,3629.922
29/05/2017,3029.219
30/05/2017,3815.586
31/05/2017,4806.133
1/06/2017,5341.914
2/06/2017,5973.633
3/06/2017,7263.32
4/06/2017,7755.547
5/06/2017,7428.242
6/06/2017,7339.844
7/06/2017,7401.289
8/06/2017,7288.125
9/06/2017,6943.008
10/06/2017,6479.766
11/06/2017,6305.195
12/06/2017,6443.672
13/06/2017,6427.344
14/06/2017,6493.984
15/06/2017,7077.461
16/06/2017,7944.727
17/06/2017,8460.703
18/06/2017,8572.5
19/06/2017,8517.148
20/06/2017,8409.609
21/06/2017,8459.883
22/06/2017,8828.047
23/06/2017,9192.383
24/06/2017,9399.258
25/06/2017,9334.102
26/06/2017,9071.719
27/06/2017,8788.867
28/06/2017,8674.883
29/06/2017,8989.648
30/06/2017,9099.805
1/07/2017,9131.562
2/07/2017,9105.937
3/07/2017,8879.023
4/07/2017,8243.398
5/07/2017,7865.312
6/07/2017,8354.297
7/07/2017,8658.984
8/07/2017,8677.148
9/07/2017,8920.391
10/07/2017,9347.656
11/07/2017,10004.453
12/07/2017,10611.133
13/07/2017,11265.977
14/07/2017,11575.391
15/07/2017,11594.141
16/07/2017,11630.703
17/07/2017,12104.766
18/07/2017,13347.656
19/07/2017,14428.203
20/07/2017,14530.625
21/07/2017,14445.625
22/07/2017,14834.766
23/07/2017,16151.953
24/07/2017,18035.391
25/07/2017,19335.625
26/07/2017,19558.281
27/07/2017,19556.953
28/07/2017,19897.422
29/07/2017,21227.266
30/07/2017,22846.406
31/07/2017,23869.141
1/08/2017,25134.453
2/08/2017,26692.109
3/08/2017,27635.391
4/08/2017,27750.391
5/08/2017,29207.422
6/08/2017,30566.406
7/08/2017,31726.562
8/08/2017,33080.859
9/08/2017,34696.484
10/08/2017,36221.875
