Date,Scenario A,Scenario B,Scenario C,Scenario D,Scenario E,Scenario F,Scenario G,Scenario H,Scenario I,Scenario J,Scenario K,Scenario L,Scenario M,Scenario N,Scenario O,Scenario P
1/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
2/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
3/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
4/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
5/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
6/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
7/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
8/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
9/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
10/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
11/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
12/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
13/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
14/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
15/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
16/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
17/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
18/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
19/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
20/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
21/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
22/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
23/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
24/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
25/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
26/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
27/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
28/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
29/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
30/06/2017,3000,3000,3000,3000,3000,3000,3000,3000,3000,7400,7400,3000,3000,7400,3000,3000
1/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
2/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
3/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
4/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
5/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
6/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
7/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
8/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
9/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
10/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
11/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
12/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
13/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
14/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
15/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
16/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
17/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
18/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
19/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
20/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
21/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
22/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
23/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
24/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
25/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
26/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
27/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
28/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
29/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
30/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
31/07/2017,5129,5129,5142,5332,5590,5590,5590,5165,5129,5129,5794,5829,5829,5829,5829,5639
1/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
2/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
3/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
4/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
5/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
6/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
7/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
8/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
9/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
10/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
11/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
12/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
13/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
14/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
15/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
16/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
17/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
18/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
19/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
20/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
21/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
22/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
23/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
24/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
25/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
26/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
27/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
28/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
29/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
30/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
31/08/2017,11258,11497,11516,11371,11316,11387,11448,12645,11258,11258,11800,13187,13126,13187,13055,13332
1/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
2/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
3/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
4/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
5/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
6/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
7/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
8/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
9/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
10/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
11/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
12/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
13/09/2017,12000,12000,12040,12053,12000,12030,12063,15493,12000,12000,12117,15610,15577,15610,15383,15597
