Date,Adjusted QSA (ML/day)
1/01/2014,10732.359
2/01/2014,10757.758
3/01/2014,10662.102
4/01/2014,9012.773
5/01/2014,8275.461
6/01/2014,8388.234
7/01/2014,8570.133
8/01/2014,7773.852
9/01/2014,7129.781
10/01/2014,7729.992
11/01/2014,7412.461
12/01/2014,7383.469
13/01/2014,7647.898
14/01/2014,7515.797
15/01/2014,7333.047
16/01/2014,7025.07
17/01/2014,7138.641
18/01/2014,7098.602
19/01/2014,7167.75
20/01/2014,7347.102
21/01/2014,7171.547
22/01/2014,7188.055
23/01/2014,7516.789
24/01/2014,7496.57
25/01/2014,7522.906
26/01/2014,7529.906
27/01/2014,7515.883
28/01/2014,7446.055
29/01/2014,7520.656
30/01/2014,7300.727
31/01/2014,7119.305
1/02/2014,7458.281
2/02/2014,9292.922
3/02/2014,9485.773
4/02/2014,9555.977
5/02/2014,9982.32
6/02/2014,9662.281
7/02/2014,8890.625
8/02/2014,7968.852
9/02/2014,7673.469
10/02/2014,7915.18
11/02/2014,8091.961
12/02/2014,7939.258
13/02/2014,7803.125
14/02/2014,7392.344
15/02/2014,7465.562
16/02/2014,7291.633
17/02/2014,6915.125
18/02/2014,6759.742
19/02/2014,5792.109
20/02/2014,5487.07
21/02/2014,5586.164
22/02/2014,5632.766
23/02/2014,5546.062
24/02/2014,5511.93
25/02/2014,5575.195
26/02/2014,5619.609
27/02/2014,5532.07
28/02/2014,5349.008
1/03/2014,5572.672
2/03/2014,6956.297
3/03/2014,7273.352
4/03/2014,6998.625
5/03/2014,6841.344
6/03/2014,8208.156
7/03/2014,8447.156
8/03/2014,8147.625
9/03/2014,8266.836
10/03/2014,8366.234
11/03/2014,8145.68
12/03/2014,8335.922
13/03/2014,8636.391
14/03/2014,8295.266
15/03/2014,8165.883
16/03/2014,7287.211
17/03/2014,6306.086
18/03/2014,6076.016
19/03/2014,6274.5
20/03/2014,7292.484
21/03/2014,7343.578
22/03/2014,6944.109
23/03/2014,6678.234
24/03/2014,6602.273
25/03/2014,6499.148
26/03/2014,6150.758
27/03/2014,6185.062
28/03/2014,6123.891
29/03/2014,6033.766
30/03/2014,6460.742
31/03/2014,6584.531
1/04/2014,6403.648
2/04/2014,5624.164
3/04/2014,4910.781
4/04/2014,4159.914
5/04/2014,4081.547
6/04/2014,4333.148
7/04/2014,4608.906
8/04/2014,4971.602
9/04/2014,5787.07
10/04/2014,7671.719
11/04/2014,8945.375
12/04/2014,8568.945
13/04/2014,7833.055
14/04/2014,7965.461
15/04/2014,8304.039
16/04/2014,7892.555
17/04/2014,7287.898
18/04/2014,6551.602
19/04/2014,6303.328
20/04/2014,6536.164
21/04/2014,6652.836
22/04/2014,6698.945
23/04/2014,6491.164
24/04/2014,6435.242
25/04/2014,6671.016
26/04/2014,5696.836
27/04/2014,4807.766
28/04/2014,4846.016
29/04/2014,5046.883
30/04/2014,4094.742
1/05/2014,3649.844
2/05/2014,3836.789
3/05/2014,4005.875
4/05/2014,3916.703
5/05/2014,3506.547
6/05/2014,3581.57
7/05/2014,3857.5
8/05/2014,3835.227
9/05/2014,4140.641
10/05/2014,3981.5
11/05/2014,4167.375
12/05/2014,4034.367
13/05/2014,3617.719
14/05/2014,3518.031
15/05/2014,3866.062
16/05/2014,3915.297
17/05/2014,3863.453
18/05/2014,3638.328
19/05/2014,3594.398
20/05/2014,3562.492
21/05/2014,3583.531
22/05/2014,3709.133
23/05/2014,3848.898
24/05/2014,3955.375
