DATE,CHOWFLAG,QSA,Normal
1/01/1900,0,6379,0
2/01/1900,0,6367,0
3/01/1900,0,6318,0
4/01/1900,0,6329,0
5/01/1900,0,6345,0
6/01/1900,0,6350,0
7/01/1900,0,6345,0
8/01/1900,0,6349,0
9/01/1900,0,6351,0
10/01/1900,0,6349,0
11/01/1900,0,6350,0
12/01/1900,0,6347,0
13/01/1900,0,6340,0
14/01/1900,0,6339,0
15/01/1900,0,6337,0
16/01/1900,0,6331,0
17/01/1900,0,6324,0
18/01/1900,0,6321,0
19/01/1900,0,6321,0
20/01/1900,0,6322,0
21/01/1900,0,6322,0
22/01/1900,0,6323,0
23/01/1900,0,6325,0
24/01/1900,0,6321,0
25/01/1900,0,6319,0
26/01/1900,0,6322,0
27/01/1900,0,6323,0
28/01/1900,0,6322,0
29/01/1900,0,6321,0
30/01/1900,0,6319,0
31/01/1900,0,6318,0
1/02/1900,0,6278,0
2/02/1900,0,6306,0
3/02/1900,0,6334,0
4/02/1900,0,6341,0
5/02/1900,0,6341,0
6/02/1900,0,6341,0
7/02/1900,0,6342,0
8/02/1900,0,6342,0
9/02/1900,0,6342,0
10/02/1900,0,6340,0
11/02/1900,0,6420,0
12/02/1900,0,6492,0
13/02/1900,0,6551,0
14/02/1900,0,6596,0
15/02/1900,0,6626,0
16/02/1900,0,6536,0
17/02/1900,0,6344,0
18/02/1900,0,6212,0
19/02/1900,0,6210,0
20/02/1900,0,6260,0
21/02/1900,0,6284,0
22/02/1900,0,6255,0
23/02/1900,0,6192,0
24/02/1900,0,6121,0
25/02/1900,0,6069,0
26/02/1900,0,6047,0
27/02/1900,0,6089,0
28/02/1900,0,6309,0
1/03/1900,0,9920,0
2/03/1900,0,4201,0
3/03/1900,0,6241,0
4/03/1900,0,6225,0
5/03/1900,0,6013,0
6/03/1900,0,5983,0
7/03/1900,0,5855,0
8/03/1900,0,5284,0
9/03/1900,0,5311,0
10/03/1900,0,5305,0
11/03/1900,0,5061,0
12/03/1900,0,4824,0
13/03/1900,0,5417,0
14/03/1900,0,5536,0
15/03/1900,0,5496,0
16/03/1900,0,5490,0
17/03/1900,0,5523,0
18/03/1900,0,5514,0
19/03/1900,0,5507,0
20/03/1900,0,5508,0
21/03/1900,0,5513,0
22/03/1900,0,5520,0
23/03/1900,0,5524,0
24/03/1900,0,5524,0
25/03/1900,0,5524,0
26/03/1900,0,5521,0
27/03/1900,0,5519,0
28/03/1900,0,5515,0
29/03/1900,0,5619,0
30/03/1900,0,5399,0
31/03/1900,0,5457,0
1/04/1900,0,4579,0
2/04/1900,0,4298,0
3/04/1900,0,4242,0
4/04/1900,0,4284,0
5/04/1900,0,4297,0
6/04/1900,0,4299,0
7/04/1900,0,4295,0
8/04/1900,0,4288,0
9/04/1900,0,4279,0
10/04/1900,0,4272,0
11/04/1900,0,4263,0
12/04/1900,0,4264,0
13/04/1900,0,4310,0
14/04/1900,0,4350,0
15/04/1900,0,4387,0
16/04/1900,0,4421,0
17/04/1900,0,4449,0
18/04/1900,0,4470,0
19/04/1900,0,4481,0
20/04/1900,0,4480,0
21/04/1900,0,4525,0
22/04/1900,0,4717,0
23/04/1900,0,4896,0
24/04/1900,0,4943,0
25/04/1900,0,4864,0
26/04/1900,0,4831,0
27/04/1900,0,4838,0
28/04/1900,0,4861,0
29/04/1900,0,4892,0
