DATE,QSA_Ramp
1/01/1900,5000
2/01/1900,5000
3/01/1900,5000
4/01/1900,5000
5/01/1900,5000
6/01/1900,5000
7/01/1900,5000
8/01/1900,5000
9/01/1900,5000
10/01/1900,5000
11/01/1900,5000
12/01/1900,5000
13/01/1900,5000
14/01/1900,5000
15/01/1900,5000
16/01/1900,5000
17/01/1900,5000
18/01/1900,5000
19/01/1900,5000
20/01/1900,5000
21/01/1900,5000
22/01/1900,5000
23/01/1900,5000
24/01/1900,5000
25/01/1900,5000
26/01/1900,5000
27/01/1900,5000
28/01/1900,5000
29/01/1900,5000
30/01/1900,5000
31/01/1900,5000
1/02/1900,5000
2/02/1900,5000
3/02/1900,5000
4/02/1900,5000
5/02/1900,5000
6/02/1900,5000
7/02/1900,5000
8/02/1900,5000
9/02/1900,5000
10/02/1900,5000
11/02/1900,5000
12/02/1900,5000
13/02/1900,5000
14/02/1900,5000
15/02/1900,5000
16/02/1900,5000
17/02/1900,5000
18/02/1900,5000
19/02/1900,5000
20/02/1900,5000
21/02/1900,5000
22/02/1900,5000
23/02/1900,5000
24/02/1900,5000
25/02/1900,5000
26/02/1900,5000
27/02/1900,5000
28/02/1900,5000
1/03/1900,5000
2/03/1900,5000
3/03/1900,5000
4/03/1900,5000
5/03/1900,5000
6/03/1900,5000
7/03/1900,5000
8/03/1900,5000
9/03/1900,5000
10/03/1900,5000
11/03/1900,5000
12/03/1900,5000
13/03/1900,5000
14/03/1900,5000
15/03/1900,5000
16/03/1900,5000
17/03/1900,5000
18/03/1900,5000
19/03/1900,5000
20/03/1900,5000
21/03/1900,5000
22/03/1900,5000
23/03/1900,5000
24/03/1900,5000
25/03/1900,5000
26/03/1900,5000
27/03/1900,5000
28/03/1900,5000
29/03/1900,5000
30/03/1900,5000
31/03/1900,5000
1/04/1900,10000
2/04/1900,10000
3/04/1900,10000
4/04/1900,10000
5/04/1900,10000
6/04/1900,10000
7/04/1900,10000
8/04/1900,10000
9/04/1900,10000
10/04/1900,10000
11/04/1900,10000
12/04/1900,10000
13/04/1900,10000
14/04/1900,10000
15/04/1900,10000
16/04/1900,10000
17/04/1900,10000
18/04/1900,10000
19/04/1900,10000
20/04/1900,10000
21/04/1900,10000
22/04/1900,10000
23/04/1900,10000
24/04/1900,10000
25/04/1900,10000
26/04/1900,10000
27/04/1900,10000
28/04/1900,10000
29/04/1900,10000
30/04/1900,10000
1/05/1900,10000
2/05/1900,10000
3/05/1900,10000
4/05/1900,10000
5/05/1900,10000
6/05/1900,10000
7/05/1900,10000
8/05/1900,10000
9/05/1900,10000
10/05/1900,10000
11/05/1900,10000
12/05/1900,10000
13/05/1900,10000
14/05/1900,10000
15/05/1900,10000
16/05/1900,10000
17/05/1900,10000
18/05/1900,10000
19/05/1900,10000
20/05/1900,10000
21/05/1900,10000
22/05/1900,10000
23/05/1900,10000
24/05/1900,10000
25/05/1900,10000
26/05/1900,10000
27/05/1900,10000
28/05/1900,10000
29/05/1900,10000
30/05/1900,10000
31/05/1900,10000
1/06/1900,10000
2/06/1900,10000
3/06/1900,10000
4/06/1900,10000
5/06/1900,10000
6/06/1900,10000
7/06/1900,10000
8/06/1900,10000
9/06/1900,10000
10/06/1900,10000
11/06/1900,10000
12/06/1900,10000
13/06/1900,10000
14/06/1900,10000
15/06/1900,10000
16/06/1900,10000
17/06/1900,10000
18/06/1900,10000
19/06/1900,10000
20/06/1900,10000
21/06/1900,10000
22/06/1900,10000
23/06/1900,10000
24/06/1900,10000
25/06/1900,10000
26/06/1900,10000
27/06/1900,10000
28/06/1900,10000
29/06/1900,10000
30/06/1900,15000
1/07/1900,15000
2/07/1900,15000
3/07/1900,15000
4/07/1900,15000
5/07/1900,15000
6/07/1900,15000
7/07/1900,15000
8/07/1900,15000
9/07/1900,15000
10/07/1900,15000
11/07/1900,15000
12/07/1900,15000
13/07/1900,15000
14/07/1900,15000
15/07/1900,15000
16/07/1900,15000
17/07/1900,15000
18/07/1900,15000
19/07/1900,15000
20/07/1900,15000
21/07/1900,15000
22/07/1900,15000
23/07/1900,15000
24/07/1900,15000
25/07/1900,15000
26/07/1900,15000
27/07/1900,15000
28/07/1900,15000
29/07/1900,15000
30/07/1900,15000
31/07/1900,15000
1/08/1900,15000
2/08/1900,15000
3/08/1900,15000
4/08/1900,15000
5/08/1900,15000
6/08/1900,15000
7/08/1900,15000
8/08/1900,15000
9/08/1900,15000
10/08/1900,15000
11/08/1900,15000
12/08/1900,15000
