Date,Chowilla_Mid,Lock 6
1/06/2017,16.45,19.25
2/06/2017,16.45,19.25
3/06/2017,16.45,19.25
4/06/2017,16.45,19.25
5/06/2017,16.45,19.25
6/06/2017,16.45,19.25
7/06/2017,16.45,19.25
8/06/2017,16.45,19.25
9/06/2017,16.45,19.25
10/06/2017,16.45,19.25
11/06/2017,16.45,19.25
12/06/2017,16.45,19.25
13/06/2017,16.45,19.25
14/06/2017,16.45,19.25
15/06/2017,16.45,19.25
16/06/2017,16.45,19.25
17/06/2017,16.45,19.25
18/06/2017,16.45,19.25
19/06/2017,16.45,19.25
20/06/2017,16.45,19.25
21/06/2017,16.45,19.25
22/06/2017,16.45,19.25
23/06/2017,16.45,19.25
24/06/2017,16.45,19.25
25/06/2017,16.45,19.25
26/06/2017,16.45,19.25
27/06/2017,16.45,19.25
28/06/2017,16.45,19.25
29/06/2017,16.45,19.25
30/06/2017,16.45,19.25
1/07/2017,16.45,19.25
2/07/2017,16.45,19.25
3/07/2017,16.45,19.25
4/07/2017,16.45,19.25
5/07/2017,16.45,19.25
6/07/2017,16.45,19.25
7/07/2017,16.45,19.25
8/07/2017,16.45,19.25
9/07/2017,16.45,19.25
10/07/2017,16.45,19.25
11/07/2017,16.45,19.25
12/07/2017,16.45,19.25
13/07/2017,16.45,19.25
14/07/2017,16.45,19.25
15/07/2017,16.45,19.25
16/07/2017,16.45,19.25
17/07/2017,16.45,19.25
18/07/2017,16.45,19.25
19/07/2017,16.45,19.25
20/07/2017,16.45,19.25
21/07/2017,16.45,19.25
22/07/2017,16.45,19.25
23/07/2017,16.45,19.25
24/07/2017,16.45,19.25
25/07/2017,16.45,19.25
26/07/2017,16.45,19.25
27/07/2017,16.45,19.25
28/07/2017,16.45,19.25
29/07/2017,16.45,19.25
30/07/2017,16.45,19.25
31/07/2017,16.45,19.25
1/08/2017,16.45,19.25
2/08/2017,16.45,19.25
3/08/2017,16.45,19.25
4/08/2017,16.45,19.25
5/08/2017,16.45,19.25
6/08/2017,16.45,19.25
7/08/2017,16.45,19.25
8/08/2017,16.45,19.25
9/08/2017,16.45,19.25
10/08/2017,16.45,19.25
11/08/2017,16.45,19.25
12/08/2017,16.45,19.25
13/08/2017,16.45,19.25
14/08/2017,16.45,19.25
15/08/2017,16.45,19.25
16/08/2017,16.45,19.25
17/08/2017,16.55,19.25
18/08/2017,16.65,19.25
19/08/2017,16.75,19.25
20/08/2017,16.85,19.25
21/08/2017,16.95,19.25
22/08/2017,17.05,19.25
23/08/2017,17.15,19.25
24/08/2017,17.25,19.25
25/08/2017,17.35,19.25
26/08/2017,17.45,19.25
27/08/2017,17.55,19.25
28/08/2017,17.65,19.25
29/08/2017,17.75,19.3
30/08/2017,17.85,19.35
31/08/2017,17.95,19.4
1/09/2017,18.05,19.45
2/09/2017,18.15,19.5
3/09/2017,18.25,19.55
4/09/2017,18.35,19.6
5/09/2017,18.45,19.65
6/09/2017,18.55,19.7
7/09/2017,18.65,19.75
8/09/2017,18.75,19.8
9/09/2017,18.85,19.8
10/09/2017,18.95,19.8
11/09/2017,19.05,19.8
12/09/2017,19.15,19.8
13/09/2017,19.25,19.8
14/09/2017,19.35,19.8
15/09/2017,19.45,19.8
16/09/2017,19.45,19.8
17/09/2017,19.45,19.8
18/09/2017,19.45,19.8
19/09/2017,19.45,19.8
20/09/2017,19.45,19.8
21/09/2017,19.45,19.8
22/09/2017,19.45,19.8
23/09/2017,19.45,19.8
24/09/2017,19.45,19.8
25/09/2017,19.45,19.8
26/09/2017,19.45,19.8
27/09/2017,19.45,19.8
28/09/2017,19.45,19.8
29/09/2017,19.45,19.8
30/09/2017,19.45,19.8
1/10/2017,19.45,19.8
2/10/2017,19.45,19.8
3/10/2017,19.45,19.8
4/10/2017,19.45,19.8
5/10/2017,19.45,19.8
6/10/2017,19.45,19.8
7/10/2017,19.45,19.8
8/10/2017,19.45,19.8
9/10/2017,19.45,19.8
10/10/2017,19.45,19.8
11/10/2017,19.45,19.8
12/10/2017,19.45,19.8
13/10/2017,19.45,19.8
14/10/2017,19.45,19.8
15/10/2017,19.45,19.8
16/10/2017,19.45,19.8
17/10/2017,19.45,19.8
18/10/2017,19.45,19.8
19/10/2017,19.45,19.8
20/10/2017,19.45,19.8
21/10/2017,19.45,19.8
22/10/2017,19.45,19.8
23/10/2017,19.45,19.8
24/10/2017,19.45,19.8
25/10/2017,19.45,19.8
26/10/2017,19.45,19.8
27/10/2017,19.45,19.8
28/10/2017,19.45,19.8
29/10/2017,19.45,19.8
30/10/2017,19.45,19.8
31/10/2017,19.45,19.8
1/11/2017,19.45,19.8
2/11/2017,19.45,19.8
3/11/2017,19.4,19.75
4/11/2017,19.35,19.7
5/11/2017,19.3,19.65
6/11/2017,19.25,19.6
7/11/2017,19.2,19.55
8/11/2017,19.15,19.5
9/11/2017,19.1,19.45
10/11/2017,19.05,19.4
11/11/2017,19,19.35
12/11/2017,18.95,19.3
13/11/2017,18.9,19.25
14/11/2017,18.85,19.25
15/11/2017,18.8,19.25
16/11/2017,18.75,19.25
17/11/2017,18.7,19.25
18/11/2017,18.65,19.25
19/11/2017,18.6,19.25
20/11/2017,18.55,19.25
21/11/2017,18.5,19.25
22/11/2017,18.45,19.25
23/11/2017,18.4,19.25
24/11/2017,18.35,19.25
25/11/2017,18.3,19.25
26/11/2017,18.25,19.25
27/11/2017,18.2,19.25
28/11/2017,18.15,19.25
29/11/2017,18.1,19.25
30/11/2017,18.05,19.25
1/12/2017,18,19.25
2/12/2017,17.95,19.25
3/12/2017,17.9,19.25
4/12/2017,17.85,19.25
5/12/2017,17.8,19.25
6/12/2017,17.75,19.25
7/12/2017,17.7,19.25
8/12/2017,17.65,19.25
9/12/2017,17.6,19.25
10/12/2017,17.55,19.25
11/12/2017,17.5,19.25
12/12/2017,17.45,19.25
13/12/2017,17.4,19.25
14/12/2017,17.35,19.25
15/12/2017,17.3,19.25
16/12/2017,17.25,19.25
17/12/2017,17.2,19.25
18/12/2017,17.15,19.25
19/12/2017,17.1,19.25
20/12/2017,17.05,19.25
21/12/2017,17,19.25
22/12/2017,16.95,19.25
23/12/2017,16.9,19.25
24/12/2017,16.85,19.25
25/12/2017,16.8,19.25
26/12/2017,16.75,19.25
27/12/2017,16.7,19.25
28/12/2017,16.65,19.25
29/12/2017,16.6,19.25
30/12/2017,16.55,19.25
31/12/2017,16.5,19.25
1/01/2018,16.45,19.25
2/01/2018,16.45,19.25
3/01/2018,16.45,19.25
4/01/2018,16.45,19.25
5/01/2018,16.45,19.25
6/01/2018,16.45,19.25
7/01/2018,16.45,19.25
8/01/2018,16.45,19.25
9/01/2018,16.45,19.25
10/01/2018,16.45,19.25
11/01/2018,16.45,19.25
12/01/2018,16.45,19.25
13/01/2018,16.45,19.25
14/01/2018,16.45,19.25
15/01/2018,16.45,19.25
16/01/2018,16.45,19.25
17/01/2018,16.45,19.25
18/01/2018,16.45,19.25
19/01/2018,16.45,19.25
20/01/2018,16.45,19.25
21/01/2018,16.45,19.25
22/01/2018,16.45,19.25
23/01/2018,16.45,19.25
24/01/2018,16.45,19.25
25/01/2018,16.45,19.25
26/01/2018,16.45,19.25
27/01/2018,16.45,19.25
28/01/2018,16.45,19.25
29/01/2018,16.45,19.25
30/01/2018,16.45,19.25
31/01/2018,16.45,19.25
