Date,Salinity (mg/L)
1/07/2014,221.44
2/07/2014,227.2
3/07/2014,227.84
4/07/2014,229.12
5/07/2014,215.68
6/07/2014,208.64
7/07/2014,215.04
8/07/2014,224.64
9/07/2014,214.4
10/07/2014,206.08
11/07/2014,200.32
12/07/2014,197.76
13/07/2014,207.36
14/07/2014,213.76
15/07/2014,238.72
16/07/2014,210.56
17/07/2014,207.36
18/07/2014,270.08
19/07/2014,220.16
20/07/2014,204.8
21/07/2014,195.84
22/07/2014,199.04
23/07/2014,189.44
24/07/2014,177.92
25/07/2014,165.76
26/07/2014,141.44
27/07/2014,135.68
28/07/2014,158.72
29/07/2014,155.52
30/07/2014,158.72
31/07/2014,148.48
1/08/2014,122.24
2/08/2014,160.64
3/08/2014,235.52
4/08/2014,209.28
5/08/2014,194.56
6/08/2014,156.8
7/08/2014,134.4
8/08/2014,131.84
9/08/2014,128
10/08/2014,121.6
11/08/2014,114.56
12/08/2014,105.6
13/08/2014,131.84
14/08/2014,135.68
15/08/2014,106.88
16/08/2014,101.12
17/08/2014,95.36
18/08/2014,91.52
19/08/2014,92.8
20/08/2014,94.08
21/08/2014,92.16
22/08/2014,93.44
23/08/2014,94.08
24/08/2014,94.72
25/08/2014,95.36
26/08/2014,95.36
27/08/2014,96
28/08/2014,97.28
29/08/2014,97.28
30/08/2014,99.84
31/08/2014,101.76
1/09/2014,101.76
2/09/2014,103.04
3/09/2014,106.24
4/09/2014,110.08
5/09/2014,112
6/09/2014,111.36
7/09/2014,117.12
8/09/2014,120.96
9/09/2014,126.72
10/09/2014,127.36
11/09/2014,126.08
12/09/2014,126.08
13/09/2014,128.64
14/09/2014,126.72
15/09/2014,126.72
16/09/2014,128.64
17/09/2014,131.2
18/09/2014,133.12
19/09/2014,131.84
20/09/2014,120.96
21/09/2014,115.2
22/09/2014,118.4
23/09/2014,129.92
24/09/2014,133.76
25/09/2014,133.12
26/09/2014,134.4
27/09/2014,138.88
28/09/2014,141.44
29/09/2014,138.24
30/09/2014,133.76
1/10/2014,136.32
2/10/2014,140.8
3/10/2014,169.6
4/10/2014,164.48
5/10/2014,161.28
6/10/2014,154.88
7/10/2014,150.4
8/10/2014,146.56
9/10/2014,144.64
10/10/2014,142.72
11/10/2014,143.36
12/10/2014,143.36
13/10/2014,142.08
14/10/2014,141.44
15/10/2014,140.16
16/10/2014,138.24
17/10/2014,136.96
18/10/2014,138.24
19/10/2014,137.6
20/10/2014,136.32
21/10/2014,135.04
22/10/2014,136.32
23/10/2014,138.24
24/10/2014,136.96
25/10/2014,136.32
26/10/2014,135.68
27/10/2014,136.32
28/10/2014,135.68
29/10/2014,134.4
30/10/2014,134.4
31/10/2014,133.76
1/11/2014,134.4
2/11/2014,141.44
3/11/2014,141.44
4/11/2014,140.16
5/11/2014,142.72
6/11/2014,140.16
7/11/2014,135.04
8/11/2014,133.12
9/11/2014,129.28
10/11/2014,124.16
11/11/2014,123.52
12/11/2014,124.16
13/11/2014,124.8
14/11/2014,125.44
15/11/2014,127.36
16/11/2014,125.44
17/11/2014,123.52
18/11/2014,119.04
19/11/2014,117.76
20/11/2014,118.4
21/11/2014,117.76
22/11/2014,117.76
23/11/2014,119.68
24/11/2014,122.24
25/11/2014,126.72
26/11/2014,129.92
27/11/2014,131.84
28/11/2014,132.48
29/11/2014,129.28
30/11/2014,126.72
1/12/2014,127.36
2/12/2014,128
3/12/2014,126.08
4/12/2014,124.16
5/12/2014,122.88
6/12/2014,121.6
7/12/2014,117.12
8/12/2014,110.72
9/12/2014,112
10/12/2014,115.84
11/12/2014,119.04
12/12/2014,122.88
13/12/2014,124.16
14/12/2014,126.08
15/12/2014,123.52
16/12/2014,122.88
17/12/2014,117.12
18/12/2014,112.64
19/12/2014,113.92
20/12/2014,112
21/12/2014,115.2
22/12/2014,117.76
23/12/2014,120.96
24/12/2014,122.24
25/12/2014,122.24
26/12/2014,121.6
27/12/2014,120.32
28/12/2014,120.96
29/12/2014,124.8
30/12/2014,128
31/12/2014,131.2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
