Date,SA Only_ Ops - Daily Total Barrage Released (ML.day^-1)
2013-07-01,1642.8800000000001
2013-07-02,1043.01
2013-07-03,823.58000000000004
2013-07-04,399.37
2013-07-05,-345.44999999999999
2013-07-06,-124.01000000000001
2013-07-07,51.380000000000003
2013-07-08,942.36000000000001
2013-07-09,2748.6300000000001
2013-07-10,2920.5300000000002
2013-07-11,2830.3200000000002
2013-07-12,2772.29
2013-07-13,2944.77
2013-07-14,2328.0300000000002
2013-07-15,2422.4699999999998
2013-07-16,2881.23
2013-07-17,3480.2199999999998
2013-07-18,2591.0100000000002
2013-07-19,-1133.0999999999999
2013-07-20,-1034.4300000000001
2013-07-21,356.10000000000002
2013-07-22,89.060000000000002
2013-07-23,1955.1600000000001
2013-07-24,3788.1999999999998
2013-07-25,4136.6099999999997
2013-07-26,3995.71
2013-07-27,4680.79
2013-07-28,3607.3400000000001
2013-07-29,2892.04
2013-07-30,3388.8699999999999
2013-07-31,3807.6100000000001
2013-08-01,4027.8600000000001
2013-08-02,1219.3099999999999
2013-08-03,1672.8399999999999
2013-08-04,960.41999999999996
2013-08-05,1194.45
2013-08-06,1678.1099999999999
2013-08-07,1154.71
2013-08-08,4111.7700000000004
2013-08-09,4929.9799999999996
2013-08-10,10359.280000000001
2013-08-11,12130.950000000001
2013-08-12,6606.8999999999996
2013-08-13,5393.5600000000004
2013-08-14,-2450.8400000000001
2013-08-15,7485.4499999999998
2013-08-16,9493.4300000000003
2013-08-17,4352.6800000000003
2013-08-18,-4440.4099999999999
2013-08-19,-4746.7299999999996
2013-08-20,5726.6000000000004
2013-08-21,17560.439999999999
2013-08-22,14339.129999999999
2013-08-23,9850.7199999999993
2013-08-24,18118.580000000002
2013-08-25,21195.830000000002
2013-08-26,25258.110000000001
2013-08-27,27734.740000000002
2013-08-28,19217.669999999998
2013-08-29,14486.57
2013-08-30,9776.4200000000001
2013-08-31,12204.299999999999
2013-09-01,12095.6
2013-09-02,11815.549999999999
2013-09-03,13158.440000000001
2013-09-04,13538.889999999999
2013-09-05,11561.49
2013-09-06,11910.120000000001
2013-09-07,11682.950000000001
2013-09-08,13604.190000000001
2013-09-09,8470.1200000000008
2013-09-10,2315.77
2013-09-11,8108.9499999999998
2013-09-12,13667.17
2013-09-13,12760.059999999999
2013-09-14,10821.860000000001
2013-09-15,14173.299999999999
2013-09-16,8061.7399999999998
2013-09-17,6444.6800000000003
2013-09-18,1934.01
2013-09-19,3324.1799999999998
2013-09-20,5700.9799999999996
2013-09-21,9619.1200000000008
2013-09-22,9350.1200000000008
2013-09-23,11979.879999999999
2013-09-24,11878.08
2013-09-25,8919.0599999999995
2013-09-26,-5372.6300000000001
2013-09-27,8821.8199999999997
2013-09-28,16.879999999999999
