Date,b-sairrsw.70,b-sacount.70,b-srstock.224,b-mamanad.224,b-mbonknt.224,Eastern Mount Lofty Range
1/07/1969,179,34,1,24,0,46
2/07/1969,179,34,1,24,0,43
3/07/1969,179,34,1,24,0,41
4/07/1969,179,34,1,24,0,64
5/07/1969,179,34,1,24,0,96
6/07/1969,179,34,1,24,0,111
7/07/1969,179,34,1,24,0,116
8/07/1969,179,34,1,24,0,116
9/07/1969,179,34,1,24,0,111
10/07/1969,179,34,1,24,0,106
11/07/1969,179,34,1,24,0,105
12/07/1969,179,34,1,24,0,130
13/07/1969,179,34,1,24,0,151
14/07/1969,179,34,1,24,0,154
15/07/1969,179,34,1,24,0,148
16/07/1969,179,34,1,24,0,139
17/07/1969,179,34,1,24,0,129
18/07/1969,179,34,1,24,0,118
19/07/1969,179,34,1,24,0,110
20/07/1969,179,34,1,24,0,103
21/07/1969,179,34,1,24,0,166
22/07/1969,179,34,1,24,0,255
23/07/1969,179,34,1,24,0,322
24/07/1969,179,34,1,24,0,368
25/07/1969,179,34,1,24,0,395
26/07/1969,179,34,1,24,0,388
27/07/1969,179,34,1,24,0,358
28/07/1969,179,34,1,24,0,318
29/07/1969,179,34,1,24,0,275
30/07/1969,179,34,1,24,0,236
31/07/1969,179,34,1,24,0,200
1/08/1969,600,35,0,42,0,171
2/08/1969,600,35,0,42,0,147
3/08/1969,600,35,0,42,0,133
4/08/1969,600,35,0,42,0,133
5/08/1969,600,35,0,42,0,133
6/08/1969,600,35,0,42,0,128
7/08/1969,600,35,0,42,0,129
8/08/1969,600,35,0,42,0,128
9/08/1969,600,35,0,42,0,121
10/08/1969,600,35,0,42,0,113
11/08/1969,600,35,0,42,0,104
12/08/1969,600,35,0,42,0,95
13/08/1969,600,35,0,42,0,102
14/08/1969,600,35,0,42,0,121
15/08/1969,600,35,0,42,0,123
16/08/1969,600,35,0,42,0,113
17/08/1969,600,35,0,42,0,101
18/08/1969,600,35,0,42,0,89
19/08/1969,600,35,0,42,0,79
20/08/1969,600,35,0,42,0,71
21/08/1969,600,35,0,42,0,66
22/08/1969,600,35,0,42,0,61
23/08/1969,600,35,0,42,0,60
24/08/1969,600,35,0,42,0,62
25/08/1969,600,35,0,42,0,63
26/08/1969,600,35,0,42,0,62
27/08/1969,600,35,0,42,0,59
28/08/1969,600,35,0,42,0,55
29/08/1969,600,35,0,42,0,53
30/08/1969,600,35,0,42,0,83
31/08/1969,600,35,0,42,0,107
1/09/1969,799,47,10,98,0,115
2/09/1969,799,47,10,98,0,115
3/09/1969,799,47,10,98,0,116
4/09/1969,799,47,10,98,0,115
5/09/1969,799,47,10,98,0,114
6/09/1969,799,47,10,98,0,120
7/09/1969,799,47,10,98,0,155
8/09/1969,799,47,10,98,0,170
9/09/1969,799,47,10,98,0,163
10/09/1969,799,47,10,98,0,162
11/09/1969,799,47,10,98,0,154
12/09/1969,799,47,10,98,0,150
13/09/1969,799,47,10,98,0,142
14/09/1969,799,47,10,98,0,140
15/09/1969,799,47,10,98,0,133
16/09/1969,799,47,10,98,0,123
17/09/1969,799,47,10,98,0,114
18/09/1969,799,47,10,98,0,107
19/09/1969,799,47,10,98,0,102
20/09/1969,799,47,10,98,0,95
21/09/1969,799,47,10,98,0,106
22/09/1969,799,47,10,98,0,129
23/09/1969,799,47,10,98,0,200
24/09/1969,799,47,10,98,0,275
25/09/1969,799,47,10,98,0,328
26/09/1969,799,47,10,98,0,345
27/09/1969,799,47,10,98,0,333
28/09/1969,799,47,10,98,0,303
29/09/1969,799,47,10,98,0,265
30/09/1969,799,47,10,98,0,228
1/10/1969,1607,97,17,150,0,194
2/10/1969,1607,97,17,150,0,164
3/10/1969,1607,97,17,150,0,140
4/10/1969,1607,97,17,150,0,120
5/10/1969,1607,97,17,150,0,105
6/10/1969,1607,97,17,150,0,92
7/10/1969,1607,97,17,150,0,81
8/10/1969,1607,97,17,150,0,73
9/10/1969,1607,97,17,150,0,66
10/10/1969,1607,97,17,150,0,61
11/10/1969,1607,97,17,150,0,56
12/10/1969,1607,97,17,150,0,53
13/10/1969,1607,97,17,150,0,49
14/10/1969,1607,97,17,150,0,46
15/10/1969,1607,97,17,150,0,44
16/10/1969,1607,97,17,150,0,42
17/10/1969,1607,97,17,150,0,40
18/10/1969,1607,97,17,150,0,39
19/10/1969,1607,97,17,150,0,37
20/10/1969,1607,97,17,150,0,36
21/10/1969,1607,97,17,150,0,35
22/10/1969,1607,97,17,150,0,34
23/10/1969,1607,97,17,150,0,33
24/10/1969,1607,97,17,150,0,32
25/10/1969,1607,97,17,150,0,31
26/10/1969,1607,97,17,150,0,31
27/10/1969,1607,97,17,150,0,30
28/10/1969,1607,97,17,150,0,30
29/10/1969,1607,97,17,150,0,30
30/10/1969,1607,97,17,150,0,30
31/10/1969,1607,97,17,150,0,29
1/11/1969,1865,113,18,198,0,29
2/11/1969,1865,113,18,198,0,28
3/11/1969,1865,113,18,198,0,26
4/11/1969,1865,113,18,198,0,25
5/11/1969,1865,113,18,198,0,27
6/11/1969,1865,113,18,198,0,35
7/11/1969,1865,113,18,198,0,42
8/11/1969,1865,113,18,198,0,49
9/11/1969,1865,113,18,198,0,58
10/11/1969,1865,113,18,198,0,67
11/11/1969,1865,113,18,198,0,74
12/11/1969,1865,113,18,198,0,77
13/11/1969,1865,113,18,198,0,77
14/11/1969,1865,113,18,198,0,74
15/11/1969,1865,113,18,198,0,69
16/11/1969,1865,113,18,198,0,64
17/11/1969,1865,113,18,198,0,59
18/11/1969,1865,113,18,198,0,54
19/11/1969,1865,113,18,198,0,50
