Date,CR,L6,Pike,L5,Kat,L4
1/06/2017,16.45,19.25,14.55,16.3,10,13.2
2/06/2017,16.45,19.25,14.55,16.3,10,13.2
3/06/2017,16.45,19.25,14.55,16.3,10,13.2
4/06/2017,16.45,19.25,14.55,16.3,10,13.2
5/06/2017,16.45,19.25,14.55,16.3,10,13.2
6/06/2017,16.45,19.25,14.55,16.3,10,13.2
7/06/2017,16.45,19.25,14.55,16.3,10,13.2
8/06/2017,16.45,19.25,14.55,16.3,10,13.2
9/06/2017,16.45,19.25,14.55,16.3,10,13.2
10/06/2017,16.45,19.25,14.55,16.3,10,13.2
11/06/2017,16.45,19.25,14.55,16.3,10,13.2
12/06/2017,16.45,19.25,14.55,16.3,10,13.2
13/06/2017,16.45,19.25,14.55,16.3,10,13.2
14/06/2017,16.45,19.25,14.55,16.3,10,13.2
15/06/2017,16.45,19.25,14.55,16.3,10,13.2
16/06/2017,16.45,19.25,14.55,16.3,10,13.2
17/06/2017,16.45,19.25,14.55,16.3,10,13.2
18/06/2017,16.45,19.25,14.55,16.3,10,13.2
19/06/2017,16.45,19.25,14.55,16.3,10,13.2
20/06/2017,16.45,19.25,14.55,16.3,10,13.2
21/06/2017,16.45,19.25,14.55,16.3,10,13.2
22/06/2017,16.45,19.25,14.55,16.3,10,13.2
23/06/2017,16.45,19.25,14.55,16.3,10,13.2
24/06/2017,16.45,19.25,14.55,16.3,10,13.2
25/06/2017,16.45,19.25,14.55,16.3,10,13.2
26/06/2017,16.45,19.25,14.55,16.3,10,13.2
27/06/2017,16.45,19.25,14.55,16.3,10,13.2
28/06/2017,16.45,19.25,14.55,16.3,10,13.2
29/06/2017,16.45,19.25,14.55,16.3,10,13.2
30/06/2017,16.45,19.25,14.55,16.3,10,13.2
1/07/2017,16.45,19.25,14.55,16.3,10,13.2
2/07/2017,16.45,19.25,14.55,16.325,10,13.2
3/07/2017,16.45,19.25,14.55,16.35,10,13.2
4/07/2017,16.45,19.25,14.55,16.375,10,13.2
5/07/2017,16.45,19.25,14.55,16.4,10,13.2
6/07/2017,16.45,19.25,14.55,16.425,10,13.2
7/07/2017,16.45,19.25,14.55,16.45,10,13.2
8/07/2017,16.45,19.25,14.55,16.475,10,13.2
9/07/2017,16.45,19.25,14.55,16.5,10,13.2
10/07/2017,16.45,19.25,14.55,16.525,10,13.2
11/07/2017,16.45,19.25,14.55,16.55,10,13.2
12/07/2017,16.45,19.25,14.55,16.575,10,13.2
13/07/2017,16.45,19.25,14.55,16.6,10,13.2
14/07/2017,16.45,19.25,14.55,16.625,10,13.2
15/07/2017,16.45,19.25,14.55,16.65,10,13.2
16/07/2017,16.45,19.25,14.55,16.675,10.06730769,13.2
17/07/2017,16.45,19.25,14.55,16.7,10.13461538,13.2375
18/07/2017,16.45,19.25,14.55,16.725,10.20192308,13.275
19/07/2017,16.45,19.25,14.55,16.75,10.26923077,13.3125
20/07/2017,16.45,19.25,14.55,16.775,10.33653846,13.35
21/07/2017,16.45,19.25,14.55,16.8,10.40384615,13.3875
22/07/2017,16.45,19.25,14.59404762,16.8,10.47115385,13.425
23/07/2017,16.45,19.25,14.63809524,16.8,10.53846154,13.4625
24/07/2017,16.45,19.25,14.68214286,16.8,10.60576923,13.5
25/07/2017,16.45,19.25,14.72619048,16.8,10.67307692,13.5375
26/07/2017,16.45,19.25,14.7702381,16.8,10.74038462,13.575
27/07/2017,16.45,19.25,14.81428571,16.8,10.80769231,13.6125
28/07/2017,16.45,19.25,14.85833333,16.8,10.875,13.65
29/07/2017,16.45,19.25,14.90238095,16.8,10.94230769,13.6875
30/07/2017,16.45,19.25,14.94642857,16.8,11.00961538,13.725
31/07/2017,16.45,19.25,14.99047619,16.8,11.07692308,13.7625
1/08/2017,16.45,19.25,15.03452381,16.8,11.14423077,13.8
2/08/2017,16.45,19.25,15.07857143,16.8,11.21153846,13.8
3/08/2017,16.45,19.25,15.12261905,16.8,11.27884615,13.8
4/08/2017,16.45,19.25,15.16666667,16.8,11.34615385,13.8
