Date,Lock6,Lock5,Lock4,Lock3,Lock2,Lock1,Chowilla
1/01/1978,19.254,16.3,13.209,9.833,6.129,3.312,16.4
2/01/1978,19.263,16.302,13.197,9.799,6.13,3.317,16.4
3/01/1978,19.281,16.313,13.181,9.783,6.13,3.313,16.4
4/01/1978,19.289,16.329,13.178,9.793,6.128,3.315,16.4
5/01/1978,19.286,16.33,13.179,9.807,6.121,3.303,16.4
6/01/1978,19.275,16.33,13.213,9.805,6.12,3.307,16.4
7/01/1978,19.294,16.33,13.242,9.821,6.12,3.301,16.4
8/01/1978,19.308,16.334,13.261,9.833,6.124,3.3,16.4
9/01/1978,19.277,16.349,13.271,9.851,6.146,3.302,16.4
10/01/1978,19.277,16.346,13.277,9.859,6.189,3.317,16.4
11/01/1978,19.226,16.324,13.265,9.868,6.228,3.353,16.4
12/01/1978,19.203,16.287,13.236,9.889,6.193,3.368,16.4
13/01/1978,19.24,16.27,13.21,9.853,6.146,3.328,16.4
14/01/1978,19.261,16.301,13.21,9.808,6.121,3.304,16.4
15/01/1978,19.267,16.321,13.25,9.786,6.147,3.303,16.4
16/01/1978,19.261,16.329,13.276,9.801,6.15,3.286,16.4
17/01/1978,19.26,16.33,13.303,9.813,6.162,3.301,16.4
18/01/1978,19.266,16.33,13.289,9.834,6.202,3.307,16.4
19/01/1978,19.28,16.328,13.277,9.858,6.186,3.305,16.4
20/01/1978,19.247,16.321,13.254,9.864,6.158,3.321,16.4
21/01/1978,19.23,16.316,13.221,9.875,6.141,3.329,16.4
22/01/1978,19.265,16.307,13.207,9.859,6.14,3.33,16.4
23/01/1978,19.293,16.336,13.203,9.849,6.14,3.332,16.4
24/01/1978,19.276,16.365,13.252,9.839,6.136,3.337,16.4
25/01/1978,19.25,16.357,13.28,9.831,6.119,3.331,16.4
26/01/1978,19.245,16.341,13.283,9.832,6.109,3.326,16.4
27/01/1978,19.259,16.336,13.258,9.843,6.101,3.306,16.4
28/01/1978,19.258,16.323,13.239,9.857,6.1,3.286,16.4
29/01/1978,19.251,16.329,13.233,9.849,6.1,3.299,16.4
30/01/1978,19.263,16.32466667,13.23976667,9.834566667,6.140533333,3.314633333,16.4
31/01/1978,19.26263333,16.32486667,13.24073333,9.8355,6.139566667,3.314233333,16.4
1/02/1978,19.26216667,16.32426667,13.24173333,9.837766667,6.138566667,3.313666667,16.4
2/02/1978,19.2612,16.3236,13.24266667,9.840233333,6.137566667,3.313233333,16.4
3/02/1978,19.26046667,16.32306667,13.24343333,9.841733333,6.136633333,3.312733333,16.4
4/02/1978,19.26076667,16.32303333,13.2442,9.842333333,6.135933333,3.3125,16.4
5/02/1978,19.26096667,16.32316667,13.24413333,9.8434,6.1354,3.311766667,16.4
6/02/1978,19.25923333,16.32366667,13.24336667,9.8438,6.135366667,3.3117,16.4
7/02/1978,19.25696667,16.3235,13.242,9.844,6.135233333,3.3117,16.4
8/02/1978,19.25706667,16.3227,13.2403,9.843566667,6.134233333,3.3117,16.4
9/02/1978,19.25753333,16.32233333,13.23853333,9.8427,6.131566667,3.3113,16.4
10/02/1978,19.25876667,16.32213333,13.23773333,9.841866667,6.1288,3.309366667,16.4
11/02/1978,19.26066667,16.32253333,13.2381,9.840933333,6.1282,3.3074,16.4
12/02/1978,19.2614,16.32336667,13.23913333,9.841666667,6.1291,3.307,16.4
13/02/1978,19.2616,16.3237,13.24013333,9.844666667,6.1311,3.3082,16.4
14/02/1978,19.26153333,16.32363333,13.23973333,9.848333333,6.132433333,3.309733333,16.4
15/02/1978,19.262,16.32333333,13.23823333,9.8509,6.133466667,3.311866667,16.4
16/02/1978,19.26193333,16.323,13.23586667,9.8525,6.134066667,3.313433333,16.4
17/02/1978,19.2611,16.32246667,13.23406667,9.853166667,6.133333333,3.314366667,16.4
18/02/1978,19.2597,16.32126667,13.2322,9.852433333,6.133,3.3146,16.4
19/02/1978,19.2593,16.3203,13.23106667,9.8518,6.1331,3.314233333,16.4
20/02/1978,19.2601,16.3198,13.23096667,9.850233333,6.1336,3.313533333,16.4
21/02/1978,19.26046667,16.3198,13.23116667,9.848266667,6.1334,3.312433333,16.4
22/02/1978,19.2598,16.3187,13.23183333,9.845366667,6.1323,3.310933333,16.4
23/02/1978,19.25976667,16.31683333,13.23146667,9.843633333,6.1319,3.309966667,16.4
24/02/1978,19.2602,16.31526667,13.2305,9.842333333,6.132866667,3.3094,16.4
25/02/1978,19.26113333,16.3143,13.2297,9.841433333,6.1343,3.309433333,16.4
26/02/1978,19.26193333,16.31393333,13.22983333,9.841066667,6.136233333,3.310066667,16.4
27/02/1978,19.262,16.31483333,13.23096667,9.840866667,6.138233333,3.311833333,16.4
28/02/1978,19.262,16.31576667,13.23276667,9.841333333,6.140366667,3.313133333,16.4
1/03/1978,19.26226667,16.31653333,13.23416667,9.841866667,6.142933333,3.314166667,16.4
2/03/1978,19.2633,16.31756667,13.23543333,9.839766667,6.1453,3.315166667,16.4
3/03/1978,19.26353333,16.31873333,13.2365,9.8377,6.147633333,3.3161,16.4
4/03/1978,19.263,16.3194,13.2377,9.836866667,6.149833333,3.3168,16.4
5/03/1978,19.26246667,16.32,13.2384,9.8373,6.151466667,3.317466667,16.4
6/03/1978,19.2614,16.3213,13.23893333,9.838566667,6.152833333,3.318333333,16.4
7/03/1978,19.2612,16.3216,13.239,9.839966667,6.154033333,3.319733333,16.4
8/03/1978,19.26173333,16.32136667,13.23893333,9.841533333,6.154733333,3.3204,16.4
9/03/1978,19.26183333,16.3213,13.23863333,9.8429,6.1554,3.3207,16.4
10/03/1978,19.26086667,16.32096667,13.2383,9.844233333,6.156133333,3.320733333,16.4
11/03/1978,19.25986667,16.32093333,13.2379,9.8455,6.156866667,3.320866667,16.4
12/03/1978,19.26,16.322,13.2371,9.846333333,6.156366667,3.321166667,16.4
13/03/1978,19.25996667,16.3226,13.23583333,9.8462,6.154866667,3.3204,16.4
14/03/1978,19.25973333,16.3227,13.2343,9.845066667,6.1533,3.3199,16.4
15/03/1978,19.2598,16.323,13.2319,9.843133333,6.1509,3.318866667,16.4
16/03/1978,19.25996667,16.32333333,13.229,9.841333333,6.148033333,3.317366667,16.4
17/03/1978,19.25973333,16.32366667,13.22656667,9.8403,6.145333333,3.3151,16.4
18/03/1978,19.2597,16.324,13.22526667,9.8395,6.142666667,3.3129,16.4
19/03/1978,19.2599,16.32446667,13.2247,9.838466667,6.140066667,3.311433333,16.4
20/03/1978,19.26096667,16.32536667,13.22473333,9.8383,6.137833333,3.311066667,16.4
21/03/1978,19.26256667,16.326,13.22496667,9.837966667,6.1362,3.311033333,16.4
22/03/1978,19.26393333,16.3265,13.22513333,9.837733333,6.135366667,3.3111,16.4
