Date,AOP Moderate,AOP + e-water Moderate,Weir Pool 2 NPL,Planned water level_Lock 2
1/07/17,5113,5113,6.1,6.1
2/07/17,5113,5113,6.1,6.1
3/07/17,5113,5113,6.1,6.1
4/07/17,5113,5113,6.1,6.1
5/07/17,5113,5113,6.1,6.1
6/07/17,5113,5113,6.1,6.1
7/07/17,5113,5113,6.1,6.08
8/07/17,5113,5113,6.1,6.06
9/07/17,5113,5113,6.1,6.04
10/07/17,5113,5113,6.1,6.02
11/07/17,5113,5113,6.1,6.02
12/07/17,5113,5113,6.1,6.02
13/07/17,5113,5113,6.1,6.02
14/07/17,5113,5113,6.1,6.02
15/07/17,5113,5113,6.1,6.02
16/07/17,5113,5113,6.1,6.02
17/07/17,5113,5113,6.1,6.02
18/07/17,5113,5113,6.1,6.02
19/07/17,5113,5113,6.1,6.02
20/07/17,5113,5113,6.1,6.02
21/07/17,5113,5113,6.1,6.02
22/07/17,5113,5113,6.1,6.02
23/07/17,5113,5113,6.1,6.02
24/07/17,5113,5113,6.1,6.02
25/07/17,5113,5113,6.1,6.02
26/07/17,5113,5113,6.1,6.02
27/07/17,5113,5113,6.1,6.02
28/07/17,5113,5113,6.1,6.04
29/07/17,5113,5113,6.1,6.06
30/07/17,5113,5113,6.1,6.08
31/07/17,5113,5113,6.1,6.1
1/08/17,11258,11258,6.1,6.1
2/08/17,11258,11258,6.1,6.1
3/08/17,11258,11258,6.1,6.1
4/08/17,11258,11258,6.1,6.1
5/08/17,11258,11258,6.1,6.12
6/08/17,11258,11258,6.1,6.14
7/08/17,11258,11258,6.1,6.16
8/08/17,11258,11258,6.1,6.18
9/08/17,11258,11258,6.1,6.2
10/08/17,11258,11258,6.1,6.22
11/08/17,11258,11258,6.1,6.24
12/08/17,11258,11258,6.1,6.26
13/08/17,11258,11258,6.1,6.28
14/08/17,11258,11258,6.1,6.3
15/08/17,11258,11258,6.1,6.32
16/08/17,11258,11258,6.1,6.34
17/08/17,11258,11258,6.1,6.36
18/08/17,11258,11258,6.1,6.38
19/08/17,11258,11258,6.1,6.4
20/08/17,11258,11258,6.1,6.42
21/08/17,11258,11258,6.1,6.44
22/08/17,11258,11258,6.1,6.46
23/08/17,11258,11258,6.1,6.48
24/08/17,11258,11258,6.1,6.5
25/08/17,11258,11258,6.1,6.52
26/08/17,11258,11258,6.1,6.54
27/08/17,11258,11258,6.1,6.56
28/08/17,11258,11258,6.1,6.58
29/08/17,11258,11258,6.1,6.6
30/08/17,11258,11258,6.1,6.6
31/08/17,11258,11258,6.1,6.6
1/09/17,12000,12000,6.1,6.6
2/09/17,12000,12000,6.1,6.6
3/09/17,12000,12000,6.1,6.6
4/09/17,12000,12000,6.1,6.6
5/09/17,12000,12000,6.1,6.6
6/09/17,12000,12000,6.1,6.6
7/09/17,12000,12000,6.1,6.6
8/09/17,12000,12000,6.1,6.6
9/09/17,12000,12000,6.1,6.6
10/09/17,12000,12000,6.1,6.6
11/09/17,12000,12000,6.1,6.6
12/09/17,12000,12000,6.1,6.6
13/09/17,12000,12000,6.1,6.6
14/09/17,12000,12000,6.1,6.6
15/09/17,12000,12000,6.1,6.6
16/09/17,12000,12000,6.1,6.6
17/09/17,12000,12000,6.1,6.6
18/09/17,12000,12000,6.1,6.6
19/09/17,12000,12000,6.1,6.6
20/09/17,12000,12000,6.1,6.6
21/09/17,12000,12000,6.1,6.6
22/09/17,12000,12000,6.1,6.6
23/09/17,12000,12000,6.1,6.6
24/09/17,12000,12000,6.1,6.6
25/09/17,12000,12000,6.1,6.6
26/09/17,12000,12000,6.1,6.6
27/09/17,12000,12000,6.1,6.6
28/09/17,12000,12000,6.1,6.58
29/09/17,12000,12000,6.1,6.56
30/09/17,12000,12000,6.1,6.54
1/10/17,12274,17100,6.1,6.52
2/10/17,12274,17100,6.1,6.5
3/10/17,12274,17100,6.1,6.48
4/10/17,12274,17100,6.1,6.46
5/10/17,12274,17100,6.1,6.44
