Date,Kat_Low,Kat_Mid,Lock4_Low,Lock 4_Mid
1/06/2017,10,10,13.2,13.2
2/06/2017,10,10,13.2,13.2
3/06/2017,10,10,13.2,13.2
4/06/2017,10,10,13.2,13.2
5/06/2017,10,10,13.2,13.2
6/06/2017,10,10,13.2,13.2
7/06/2017,10,10,13.2,13.2
8/06/2017,10,10,13.2,13.2
9/06/2017,10,10,13.2,13.2
10/06/2017,10,10,13.2,13.2
11/06/2017,10,10,13.2,13.2
12/06/2017,10,10,13.2,13.2
13/06/2017,10,10,13.2,13.2
14/06/2017,10,10,13.2,13.2
15/06/2017,10,10,13.2,13.2
16/06/2017,10,10,13.2,13.2
17/06/2017,10,10,13.2,13.2
18/06/2017,10,10,13.2,13.2
19/06/2017,10,10,13.2,13.2
20/06/2017,10,10,13.2,13.2
21/06/2017,10,10,13.2,13.2
22/06/2017,10,10,13.2,13.2
23/06/2017,10,10,13.2,13.2
24/06/2017,10,10,13.2,13.2
25/06/2017,10,10,13.2,13.2
26/06/2017,10,10,13.2,13.2
27/06/2017,10,10,13.2,13.2
28/06/2017,10,10,13.2,13.2
29/06/2017,10,10,13.2,13.2
30/06/2017,10,10,13.2,13.2
1/07/2017,10,10,13.2,13.2
2/07/2017,10,10,13.2,13.2
3/07/2017,10,10,13.2,13.2
4/07/2017,10,10,13.2,13.2
5/07/2017,10,10,13.2,13.2
6/07/2017,10,10,13.2,13.2
7/07/2017,10,10,13.2,13.2
8/07/2017,10,10,13.2,13.2
9/07/2017,10,10,13.2,13.2
10/07/2017,10,10,13.2,13.2
11/07/2017,10,10,13.2,13.2
12/07/2017,10,10,13.2,13.2
13/07/2017,10,10,13.2,13.2
14/07/2017,10,10,13.2,13.2
15/07/2017,10,10,13.2,13.2
16/07/2017,10,10.075,13.2,13.2
17/07/2017,10,10.15,13.2,13.225
18/07/2017,10,10.225,13.2,13.25
19/07/2017,10,10.3,13.2,13.275
20/07/2017,10,10.375,13.2,13.3
21/07/2017,10,10.375,13.2,13.3
22/07/2017,10,10.375,13.2,13.3
23/07/2017,10,10.45,13.2,13.325
24/07/2017,10,10.525,13.2,13.35
25/07/2017,10,10.6,13.2,13.375
26/07/2017,10,10.675,13.2,13.4
27/07/2017,10,10.75,13.2,13.425
28/07/2017,10,10.75,13.2,13.425
