date,Pike,L5,low inund,max inund,low inund_Slow,max inund_Slow,max inund early
1/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
2/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
3/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
4/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
5/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
6/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
7/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
8/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
9/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
10/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
11/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
12/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
13/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
14/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
15/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
16/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
17/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
18/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
19/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
20/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
21/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
22/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
23/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
24/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
25/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
26/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
27/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
28/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
29/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
30/06/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
1/07/2007,14.55,16.3,14.55,14.55,14.55,14.55,14.55
