Date,Level (m),Discharge (Ml/day),Discharge (m3/s),Area (m2),velocity
2/01/2013,19.253,10199.641,118.0514005,809.37242,0.145855477
3/01/2013,19.26,10286.891,119.0612384,810.1364,0.146964435
4/01/2013,19.269,10289.039,119.0860995,811.11866,0.146817112
5/01/2013,19.289,10491.648,121.4311111,813.30146,0.149306398
6/01/2013,19.287,10600.75,122.6938657,813.08318,0.150899525
7/01/2013,19.286,10368.875,120.0101273,812.97404,0.147618646
8/01/2013,19.281,10242.125,118.5431134,812.42834,0.145912086
9/01/2013,19.285,10700.047,123.8431366,812.8649,0.152353899
10/01/2013,19.287,10950.414,126.7409028,813.08318,0.155876921
11/01/2013,19.289,10906.227,126.2294792,813.30146,0.155206262
12/01/2013,19.273,10559.352,122.2147222,811.55522,0.15059323
13/01/2013,19.253,10477.617,121.2687153,809.37242,0.149830551
14/01/2013,19.271,10808.852,125.1024537,811.33694,0.154192972
15/01/2013,19.27,10327.773,119.5344097,811.2278,0.147349992
16/01/2013,19.268,10610.719,122.8092477,811.00952,0.151427628
17/01/2013,19.279,10709.258,123.9497454,812.21006,0.152607991
18/01/2013,19.269,10115.492,117.0774537,811.11866,0.144340723
19/01/2013,19.259,10318.695,119.4293403,810.02726,0.147438668
20/01/2013,19.272,10779.781,124.7659838,811.44608,0.153757578
21/01/2013,19.286,11032.531,127.691331,812.97404,0.157066923
22/01/2013,19.288,10857.906,125.6702083,813.19232,0.154539345
23/01/2013,19.277,10628.555,123.0156829,811.99178,0.15149868
24/01/2013,19.28,10696.086,123.7972917,812.3192,0.15239981
25/01/2013,19.283,10683.461,123.651169,812.64662,0.152158596
26/01/2013,19.279,10917.805,126.3634838,812.21006,0.155579806
27/01/2013,19.279,10905.594,126.2221528,812.21006,0.155405798
28/01/2013,19.284,11048.633,127.8776968,812.75576,0.157338407
29/01/2013,19.286,11125.766,128.7704398,812.97404,0.158394283
30/01/2013,19.281,10865.227,125.7549421,812.42834,0.154788965
31/01/2013,19.277,10584.859,122.5099421,811.99178,0.15087584
1/02/2013,19.275,10085.109,116.7257986,811.7735,0.143791093
2/02/2013,19.277,8964.867,103.7600347,811.99178,0.127784588
3/02/2013,19.269,9111,105.4513889,811.11866,0.130007352
4/02/2013,19.29,9646.469,111.6489468,813.4106,0.137260255
5/02/2013,19.292,9570.586,110.7706713,813.62888,0.136143977
6/02/2013,19.283,9493.062,109.8734028,812.64662,0.135204405
7/02/2013,19.278,9560.156,110.6499537,812.10092,0.136251482
8/02/2013,19.278,9611.547,111.2447569,812.10092,0.136983907
9/02/2013,19.277,9539.43,110.4100694,811.99178,0.135974368
10/02/2013,19.274,9625.297,111.4039005,811.66436,0.137253656
11/02/2013,19.266,9306.555,107.7147569,810.79124,0.132851407
12/02/2013,19.268,9033.609,104.5556597,811.00952,0.128920385
13/02/2013,19.272,8526.305,98.68408565,811.44608,0.121615087
14/02/2013,19.267,8149.5,94.32291667,810.90038,0.116318748
15/02/2013,19.27,8155.469,94.39200231,811.2278,0.116356962
16/02/2013,19.273,8417.687,97.42693287,811.55522,0.120049666
17/02/2013,19.271,8283.461,95.8733912,811.33694,0.118167171
18/02/2013,19.266,8177.484,94.64680556,810.79124,0.116733878
19/02/2013,19.274,8187.375,94.76128472,811.66436,0.116749348
20/02/2013,19.282,8613.328,99.6912963,812.53748,0.12269132
21/02/2013,19.279,8680.289,100.4663079,812.21006,0.123694981
22/02/2013,19.291,9323.844,107.9148611,813.51974,0.132651804
23/02/2013,19.266,9377.633,108.537419,810.79124,0.133866048
24/02/2013,19.259,9182.062,106.2738657,810.02726,0.131197888
25/02/2013,19.254,9189.57,106.3607639,809.48156,0.131393683
26/02/2013,19.255,9173.891,106.179294,809.5907,0.13115182
27/02/2013,19.264,8517.773,98.58533565,810.57296,0.121624259
28/02/2013,19.286,8137.797,94.18746528,812.97404,0.11585544
1/03/2013,19.272,7564.82,87.55578704,811.44608,0.10790093
2/03/2013,19.252,7458.031,86.31980324,809.26328,0.106664673
3/03/2013,19.252,7665.422,88.72016204,809.26328,0.109630777
4/03/2013,19.257,7820.781,90.51829861,809.80898,0.111777346
5/03/2013,19.26,7837.906,90.71650463,810.1364,0.111976828
6/03/2013,19.262,7815.875,90.4615162,810.35468,0.111632003
7/03/2013,19.26,7687.422,88.97479167,810.1364,0.109826927
8/03/2013,19.26,7692.937,89.03862269,810.1364,0.109905718
9/03/2013,19.259,7662.469,88.6859838,810.02726,0.109485184
10/03/2013,19.258,7728.25,89.44733796,809.91812,0.110439976
11/03/2013,19.263,7776.703,90.00813657,810.46382,0.111057563
12/03/2013,19.257,7627.266,88.27854167,809.80898,0.109011562
13/03/2013,19.255,7790.633,90.16936343,809.5907,0.111376481
14/03/2013,19.255,8184.742,94.73081019,809.5907,0.117010744
15/03/2013,19.258,8454.43,97.85219907,809.91812,0.120817397
16/03/2013,19.256,8812.469,101.996169,809.69984,0.125967876
17/03/2013,19.26,9013.055,104.3177662,810.1364,0.128765682
18/03/2013,19.266,8917.969,103.2172338,810.79124,0.127304328
19/03/2013,19.264,9136.102,105.7419213,810.57296,0.130453305
20/03/2013,19.278,9905.141,114.6428356,812.10092,0.141168213
21/03/2013,19.268,9513.305,110.1076968,811.00952,0.13576622
22/03/2013,19.241,8961.883,103.7254977,808.06274,0.128363173
23/03/2013,19.24,8776.172,101.5760648,807.9536,0.125720171
24/03/2013,19.251,8819.961,102.0828819,809.15414,0.126159995
25/03/2013,19.254,8854.187,102.4790162,809.48156,0.126598333
26/03/2013,19.258,8860.906,102.5567824,809.91812,0.126626112
27/03/2013,19.259,8866.023,102.6160069,810.02726,0.126682165
28/03/2013,19.255,8831.445,102.2157986,809.5907,0.126256142
29/03/2013,19.258,8841.477,102.3319097,809.91812,0.126348463
30/03/2013,19.259,8931.016,103.3682407,810.02726,0.127610817
31/03/2013,19.259,9033.57,104.5552083,810.02726,0.12907616
1/04/2013,19.26,8709.578,100.8053009,810.1364,0.124430035
2/04/2013,19.237,8043.219,93.0928125,807.62618,0.115267205
3/04/2013,19.227,7766.852,89.89412037,806.53478,0.111457215
4/04/2013,19.25,7805.164,90.3375463,809.045,0.111659483
5/04/2013,19.255,7811,90.40509259,809.5907,0.111667652
6/04/2013,19.255,7707.094,89.20247685,809.5907,0.110182191
7/04/2013,19.244,7327.93,84.81400463,808.39016,0.104917166
8/04/2013,19.237,7318.617,84.70621528,807.62618,0.104882949
9/04/2013,19.233,7230.719,83.68887731,807.18962,0.103679328
10/04/2013,19.226,7075.375,81.89091435,806.42564,0.101548004
11/04/2013,19.22,7163.352,82.90916667,805.7708,0.102894231
12/04/2013,19.235,7670.344,88.77712963,807.4079,0.109953259
13/04/2013,19.236,7214.922,83.50604167,807.51704,0.103410873
14/04/2013,19.219,7193.852,83.26217593,805.66166,0.10334633
15/04/2013,19.234,7435.82,86.06273148,807.29876,0.106605802
16/04/2013,19.237,7375.187,85.36096065,807.62618,0.105693652
17/04/2013,19.235,7354.93,85.12650463,807.4079,0.105431845
18/04/2013,19.233,7555.937,87.45297454,807.18962,0.108342541
19/04/2013,19.242,7929.031,91.77119213,808.17188,0.113554053
20/04/2013,19.261,7928.156,91.76106481,810.24554,0.113250935
21/04/2013,19.249,7331.5,84.85532407,808.93586,0.104897469
22/04/2013,19.246,7408.492,85.74643519,808.60844,0.106041974
23/04/2013,19.246,7397.211,85.61586806,808.60844,0.105880503
24/04/2013,19.239,7040.18,81.48356481,807.84446,0.100865413
25/04/2013,19.217,6508.117,75.32542824,805.44338,0.093520451
26/04/2013,19.21,6791.266,78.60261574,804.6794,0.097681904
27/04/2013,19.22,7002.008,81.04175926,805.7708,0.100576689
28/04/2013,19.223,7033.57,81.40706019,806.09822,0.100989009
29/04/2013,19.222,6851.953,79.30501157,805.98908,0.098394648
30/04/2013,19.219,6713.812,77.70615741,805.66166,0.096450112
1/05/2013,19.228,6457.469,74.73922454,806.64392,0.092654544
2/05/2013,19.223,5445.062,63.02155093,806.09822,0.078180983
3/05/2013,19.219,5031.883,58.23938657,805.66166,0.072287648
4/05/2013,19.23,5098.805,59.01394676,806.8622,0.073140056
5/05/2013,19.241,5158.656,59.70666667,808.06274,0.073888652
6/05/2013,19.249,5232.25,60.55844907,808.93586,0.074861867
7/05/2013,19.25,5247.789,60.73829861,809.045,0.075074067
8/05/2013,19.251,5263.258,60.91733796,809.15414,0.075285208
9/05/2013,19.25,5204.039,60.23193287,809.045,0.074448186
10/05/2013,19.252,5220.453,60.42190972,809.26328,0.074662858
11/05/2013,19.252,5276.32,61.06851852,809.26328,0.075461868
12/05/2013,19.255,5328.234,61.669375,809.5907,0.076173522
13/05/2013,19.254,5212.211,60.3265162,809.48156,0.07452488
14/05/2013,19.25,5175.891,59.90614583,809.045,0.074045505
15/05/2013,19.25,5140.93,59.50150463,809.045,0.073545359
16/05/2013,19.249,5225.102,60.47571759,808.93586,0.074759595
17/05/2013,19.254,5411.219,62.62984954,809.48156,0.077370323
18/05/2013,19.258,5546.32,64.19351852,809.91812,0.079259269
19/05/2013,19.263,5597.148,64.78180556,810.46382,0.079931767
20/05/2013,19.262,5383.633,62.31056713,810.35468,0.076892956
21/05/2013,19.257,5324.734,61.62886574,809.80898,0.076102967
22/05/2013,19.261,5433.289,62.88528935,810.24554,0.077612633
23/05/2013,19.269,5285.609,61.17603009,811.11866,0.075421801
24/05/2013,19.262,5135,59.43287037,810.35468,0.073341799
