Date,Salinity (mg/L)
13/12/2006,128
14/12/2006,124.8
15/12/2006,120.96
16/12/2006,118.4
17/12/2006,115.84
18/12/2006,117.12
19/12/2006,115.84
20/12/2006,112.64
21/12/2006,113.28
22/12/2006,113.28
23/12/2006,113.92
24/12/2006,112.64
25/12/2006,113.92
26/12/2006,113.92
27/12/2006,115.2
28/12/2006,115.2
29/12/2006,113.92
30/12/2006,116.48
31/12/2006,119.04
1/01/2007,117.76
2/01/2007,118.4
3/01/2007,119.68
4/01/2007,126.08
5/01/2007,124.16
6/01/2007,115.84
7/01/2007,-9999
8/01/2007,-9999
9/01/2007,-9999
10/01/2007,111.36
11/01/2007,106.88
12/01/2007,111.36
13/01/2007,110.08
14/01/2007,110.72
15/01/2007,111.36
16/01/2007,111.36
17/01/2007,111.36
18/01/2007,111.36
19/01/2007,111.36
20/01/2007,112.64
21/01/2007,112.64
22/01/2007,117.12
23/01/2007,123.52
24/01/2007,118.4
25/01/2007,115.84
26/01/2007,117.12
27/01/2007,120.32
28/01/2007,126.08
29/01/2007,131.84
30/01/2007,126.08
31/01/2007,120.32
1/02/2007,119.68
2/02/2007,116.48
3/02/2007,116.48
4/02/2007,115.84
5/02/2007,116.48
6/02/2007,115.84
7/02/2007,115.84
8/02/2007,113.92
9/02/2007,114.56
10/02/2007,115.2
11/02/2007,113.92
12/02/2007,114.56
13/02/2007,116.48
14/02/2007,116.48
15/02/2007,114.56
16/02/2007,114.56
17/02/2007,115.2
18/02/2007,116.48
19/02/2007,113.92
20/02/2007,113.28
21/02/2007,112.64
22/02/2007,108.8
23/02/2007,107.52
24/02/2007,106.24
25/02/2007,108.16
26/02/2007,110.08
27/02/2007,110.72
28/02/2007,110.08
1/03/2007,110.72
2/03/2007,111.36
3/03/2007,111.36
4/03/2007,112
5/03/2007,112
6/03/2007,113.92
7/03/2007,112.64
8/03/2007,114.56
9/03/2007,119.68
10/03/2007,124.8
11/03/2007,124.8
12/03/2007,120.32
13/03/2007,119.04
14/03/2007,119.04
15/03/2007,120.96
16/03/2007,121.6
17/03/2007,121.6
18/03/2007,122.88
19/03/2007,124.8
20/03/2007,127.36
21/03/2007,129.28
22/03/2007,133.76
23/03/2007,132.48
24/03/2007,131.2
25/03/2007,133.12
26/03/2007,134.4
27/03/2007,134.4
28/03/2007,133.76
29/03/2007,142.08
30/03/2007,150.4
31/03/2007,151.68
1/04/2007,156.16
2/04/2007,157.44
3/04/2007,157.44
