Date,entitlement,entitlement_Adj,entitlement_Adj
1/06/2007,3000,3000,3000
2/06/2007,3000,3000,3000
3/06/2007,3000,3000,3000
4/06/2007,3000,3000,3000
5/06/2007,3000,3000,3000
6/06/2007,3000,3000,3000
7/06/2007,3000,3000,3000
8/06/2007,3000,3000,3000
9/06/2007,3000,3000,3000
10/06/2007,3000,3000,3000
11/06/2007,3000,3000,3000
12/06/2007,3000,3000,3000
13/06/2007,3000,3000,3000
14/06/2007,3000,3000,3000
15/06/2007,3000,3000,3000
16/06/2007,3000,3000,3000
17/06/2007,3000,3000,3000
18/06/2007,3000,3000,3000
19/06/2007,3000,3000,3000
20/06/2007,3000,3000,3000
21/06/2007,3000,3000,3000
22/06/2007,3000,3000,3000
23/06/2007,3000,3000,3000
24/06/2007,3000,3000,3000
25/06/2007,3000,3000,3000
26/06/2007,3000,3000,3000
27/06/2007,3000,3000,3000
28/06/2007,3000,3000,3000
29/06/2007,3000,3000,3000
30/06/2007,3000,3000,3000
1/07/2007,3500,3500,3500
2/07/2007,3500,3500,3500
3/07/2007,3500,3500,3500
4/07/2007,3500,3500,3500
5/07/2007,3500,3500,3500
6/07/2007,3500,3500,3500
7/07/2007,3500,3500,3500
8/07/2007,3500,3500,3500
9/07/2007,3500,3500,3500
10/07/2007,3500,3500,3500
11/07/2007,3500,3500,3500
12/07/2007,3500,3500,3500
13/07/2007,3500,3500,3500
14/07/2007,3500,3500,3500
15/07/2007,3500,3500,3500
16/07/2007,3500,3500,3500
17/07/2007,3500,3500,3500
18/07/2007,3500,3500,3500
19/07/2007,3500,3500,4500
20/07/2007,3500,3500,4500
21/07/2007,3500,3500,4500
22/07/2007,3500,3500,4500
23/07/2007,3500,3500,4500
24/07/2007,3500,4500,4500
25/07/2007,3500,4500,4500
26/07/2007,3500,4500,4500
27/07/2007,3500,4500,5000
28/07/2007,3500,4500,5000
29/07/2007,3500,4500,5000
30/07/2007,3500,4500,5000
31/07/2007,3500,4500,5000
1/08/2007,4000,5000,4743.457753
2/08/2007,4000,5000,4175.647322
3/08/2007,4000,5000,4160.593743
4/08/2007,4000,5000,4132.708023
5/08/2007,4000,5000,4116.804391
6/08/2007,4000,4743.457753,4114.507385
7/08/2007,4000,4175.647322,4122.122105
8/08/2007,4000,4160.593743,4132.477319
9/08/2007,4000,4132.708023,4140.953359
10/08/2007,4000,4116.804391,4146.446871
11/08/2007,4000,4114.507385,4146.446871
12/08/2007,4000,4122.122105,4146.446871
13/08/2007,4000,4132.477319,4146.446871
14/08/2007,4000,4140.953359,4146.446871
15/08/2007,4000,4146.446871,4146.446871
16/08/2007,4000,4149.63593,4149.63593
17/08/2007,4000,4151.272408,4151.272408
18/08/2007,4000,4151.9127,4151.9127
19/08/2007,4000,4151.988113,4151.988113
20/08/2007,4000,4151.906631,4151.906631
21/08/2007,4000,4151.916631,4151.916631
22/08/2007,4000,4151.988506,4151.988506
23/08/2007,4000,4152.150733,4152.150733
24/08/2007,4000,4152.384517,4152.384517
25/08/2007,4000,4152.663885,4152.663885
26/08/2007,4000,4153.623482,4153.623482
27/08/2007,4000,4155.570094,4155.570094
28/08/2007,4000,4157.897031,4157.897031
29/08/2007,4000,4159.825174,4159.825174
30/08/2007,4000,4161.123087,4161.123087
31/08/2007,4000,4161.959994,4161.959994
1/09/2007,4500,4661.591178,4661.591178
2/09/2007,4500,4673.668966,4673.668966
3/09/2007,4500,4676.672699,4676.672699
4/09/2007,4500,4672.921197,4672.921197
5/09/2007,4500,4668.518786,4668.518786
6/09/2007,4500,4664.289501,4664.289501
