Date,Latest Run>Gauge>River Murray @ US Lock 1 (426902)>Upstream Flow,Latest Run>Gauge>SA Flow>Downstream Flow
1/07/1895,4476.94401,6119.755329
2/07/1895,4368.33546,3290.746975
3/07/1895,3701.908955,2007.172059
4/07/1895,2877.54933,1536.52153
5/07/1895,2217.544467,2741.257296
6/07/1895,1976.23252,3745.126371
7/07/1895,2012.791128,3853.943142
8/07/1895,2152.385533,3879.692915
9/07/1895,2310.509542,3887.930713
10/07/1895,2607.37472,4092.507112
11/07/1895,2803.48388,3803.275353
12/07/1895,2953.520103,4485.506692
13/07/1895,3091.03767,5607.74567
14/07/1895,3361.79641,6881.439328
15/07/1895,3776.692998,8196.383133
16/07/1895,4337.759731,9482.001066
17/07/1895,5069.924316,10669.80584
18/07/1895,5990.248571,11605.10589
19/07/1895,7039.803337,12410.80777
20/07/1895,8209.827184,13353.98425
21/07/1895,9347.950084,14219.04752
22/07/1895,10415.67588,14842.65393
23/07/1895,11474.89116,15341.36794
24/07/1895,12336.0351,15791.99835
25/07/1895,13085.991,16296.74094
26/07/1895,13768.70358,16634.89269
27/07/1895,14298.98568,16743.41466
28/07/1895,14739.27931,16759.56545
29/07/1895,15098.56681,16673.26805
30/07/1895,15383.16206,16467.01728
31/07/1895,15602.4822,20138.11448
1/08/1895,15880.47891,21839.25099
2/08/1895,16326.60699,22019.96179
3/08/1895,17067.21096,21767.5065
4/08/1895,17984.41625,21351.24325
5/08/1895,19005.90385,21262.64846
6/08/1895,19915.39447,21005.63969
7/08/1895,20387.25935,20319.07886
8/08/1895,20564.60329,19642.469
9/08/1895,20487.05639,19094.17181
10/08/1895,20228.5495,18633.37841
11/08/1895,19842.39489,18158.47808
12/08/1895,19373.19258,17827.16015
13/08/1895,18882.52497,17692.78074
14/08/1895,18432.97337,17742.15044
15/08/1895,18014.83311,17837.28608
16/08/1895,17681.01405,18006.65205
17/08/1895,17455.49496,18279.89842
18/08/1895,17338.27103,18611.6838
19/08/1895,17357.66266,19208.5187
20/08/1895,17765.24712,20026.27542
21/08/1895,17969.541,20370.37437
22/08/1895,18240.43576,20539.16832
23/08/1895,18536.62391,20683.27031
24/08/1895,18857.10083,20649.25512
25/08/1895,19213.3053,20628.30162
26/08/1895,19505.91145,20626.20057
27/08/1895,19689.49558,20453.12678
28/08/1895,19805.15476,20259.76401
29/08/1895,19883.51022,20087.35948
30/08/1895,19844.30192,19946.51511
31/08/1895,19734.70345,19779.22935
1/09/1895,19553.53782,18418.40425
2/09/1895,19308.5301,17618.61327
3/09/1895,18996.58818,17665.07266
4/09/1895,18580.8453,17669.30673
5/09/1895,18097.813,17696.36656
6/09/1895,17624.13282,17667.23068
7/09/1895,17233.19395,17794.98133
8/09/1895,16957.27248,18081.56327
9/09/1895,16796.28752,18485.40071
10/09/1895,16757.33553,18966.77513
11/09/1895,16803.0796,19516.00028
12/09/1895,16947.56211,20038.71881
13/09/1895,17192.60177,20593.61471
14/09/1895,17518.39204,21296.46986
15/09/1895,18143.05452,22044.23148
16/09/1895,18719.01013,22872.78915
17/09/1895,19284.55585,23727.78829
18/09/1895,19868.89722,24542.61566
19/09/1895,20445.29822,25227.19949
20/09/1895,21050.54054,25889.70604
21/09/1895,21666.99875,26398.45738
22/09/1895,22296.83406,26864.78712
23/09/1895,22921.97903,27388.12796
24/09/1895,23537.26096,27871.61024
25/09/1895,24094.906,28202.60142
26/09/1895,24717.65459,28350.16028
27/09/1895,25230.99035,28448.36341
28/09/1895,25669.68905,28450.04869
29/09/1895,26042.10632,28365.35556
30/09/1895,26426.53526,28162.62342
1/10/1895,26823.6543,28072.96774
2/10/1895,27016.82227,28003.19491
3/10/1895,27074.27403,27905.54214
4/10/1895,27013.17604,27848.8064
5/10/1895,26854.96712,27890.83813
6/10/1895,26630.56068,28045.01369
7/10/1895,26420.369,28267.07153
8/10/1895,26249.77393,28519.37839
9/10/1895,26158.1457,28872.35557
10/10/1895,26191.80999,29240.27418
11/10/1895,26239.85159,29499.08525
12/10/1895,26310.93078,29733.99347
13/10/1895,26413.44939,29889.18203
14/10/1895,26600.98645,30242.4011
15/10/1895,26802.31767,30805.01818
16/10/1895,26989.54397,30980.59073
17/10/1895,27117.55166,31255.33154
18/10/1895,27164.58608,31574.91674
19/10/1895,27173.02489,31827.38421
20/10/1895,27216.04615,32041.73941
21/10/1895,27288.06108,32214.67578
22/10/1895,27452.94707,32328.53229
23/10/1895,27678.12542,32449.39123
24/10/1895,27975.74751,32416.34821
25/10/1895,28260.84549,32206.56961
26/10/1895,28543.90207,31846.50209
27/10/1895,28778.92811,31506.22751
28/10/1895,28979.81784,31101.56424
29/10/1895,29063.00213,30605.77383
30/10/1895,29062.82863,29961.66344
31/10/1895,28993.84687,29278.93377
1/11/1895,28880.20818,27064.6932
2/11/1895,28687.36351,24916.4976
3/11/1895,28351.61939,23575.36023
4/11/1895,27766.0504,22502.9465
5/11/1895,26848.0621,21511.89864
6/11/1895,25503.77487,20165.77815
7/11/1895,23846.49984,19140.73558
8/11/1895,22084.07924,18196.80742
9/11/1895,20358.17973,17169.27857
10/11/1895,18814.07922,15749.46036
11/11/1895,17423.99517,14153.29161
12/11/1895,16130.93468,12514.95118
13/11/1895,14771.37341,10826.57189
14/11/1895,13375.95729,9467.565877
15/11/1895,11910.49728,8733.966633
16/11/1895,10392.44131,8545.975234
17/11/1895,8953.429671,8530.79014
18/11/1895,7780.598265,8539.725849
19/11/1895,6934.472602,8556.035738
20/11/1895,6363.820857,8507.550275
21/11/1895,5941.318881,8489.775291
22/11/1895,5588.301657,8478.479218
23/11/1895,5294.304616,8501.180788
24/11/1895,5027.243999,8494.438869
25/11/1895,4780.174478,8493.741556
26/11/1895,4640.067789,8534.459439
27/11/1895,4629.08893,8517.145226
28/11/1895,4712.494812,8478.66298
29/11/1895,4959.593247,8801.788087
30/11/1895,5933.903011,8706.770051
1/12/1895,6811.207222,8511.295807
2/12/1895,7311.768066,8471.82465
