Grouping,black box woodland,lignum shrubland,red gum woodland,shrublands
18.2,0,0,12,488148
18.4,0.00E+00,3.94E+00,4.53E+01,2.34E+06
18.6,0,775.2698,5268.5531,2858236.154
18.8,0,2545.424,43897.736,3075040.843
19,1797.649,3968.24,128242.162,3165898.981
19.2,7703.467,4618.369,298943.199,3216971.904
19.4,12981.751,5739.724,497355.189,3232163.758
19.6,19178.04,22813.33,721270.19,3240498.03
19.8,30295.84,59966.96,1080037.42,3293675.1
20,82272.34,83585.51,1508229.82,3408697.55
20.2,142425.78,86394.54,1792209.45,3457303.91
20.4,168364.94,86714.72,1965202.26,3498315.29
20.6,200943.3,86746.9,2077720.4,3538974.6
20.8,272661.4,86746.9,2164694.5,3576019.1
21,306267.5,86746.9,2234622.8,3586880.4
21.2,309570.9,86746.9,2293010.4,3594241.9
21.4,309793.3,86746.9,2344281.5,3600641.2
21.6,309825.9,86746.9,2394546.2,3615588.1
21.8,309825.9,86746.9,2436487.8,3629040.6
22,309825.9,86746.9,2469303.4,3643279.2
