Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
11.5,0,0,0,0,0
12,64.23147462,98.5873438,57.23112243,0,0.08443051
12.5,1099.01,777.394,5954.119,0,6942.968
13,6437.812,2627.479,17757.253,2541.16,105455.033
13.5,52048.86,160073.16,51809.51,88228.02,1192474.86
14,237294.1,657349.5,208334.9,387667.1,3128767
14.5,645428.7,1362980.2,598211.5,555361.3,4835353.4
15,1414955.8,1744076.7,1189730.7,621224.1,6416792.2
15.5,2593125.8,1973731.8,1826286.5,637997.2,7265170.2
16,3492816,2167762,2496548,649958,8208948
16.5,3856203.1,2425354.3,3020749.5,656400.3,8845342.2
17,3988232.2,2501644.9,3563934,666098.4,9162804.3
17.5,4049442,2522718.6,3852892,678893.8,9249766.6
18,4085861.8,2530914.1,3950146.2,681272.1,9284657.1
18.5,4104501,2531996.1,3984925.6,682088.4,9326471.1
19,4110672.7,2533124.9,4000326.5,682667.5,9368433.4
19.5,4112569.9,2534062.9,4012637.5,682951.1,9390669.6
