Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
9.5,6609.418457,51.84955,483.2515194,0.3043985,1891.089334
10,24450.89596,457.0043,2017.48421,35.84898,12340.65213
10.5,67423.1397,1001.1585,4386.8571,851.8506,97822.606
11,124243.354,1761.738,8098.789,2547.505,239793.507
11.5,193230.797,3453.377,11386.221,4183.492,470871.63
12,253865.792,4694.736,14578.884,7125.059,860884.119
12.5,316289.615,6230.799,16415.05,10982.49,1309790.323
13,422514.754,7408.709,18025.998,14122.329,1555798.995
13.5,489834.13,8541.108,19716.8,15556.606,1664466.248
14,578798.08,10551.71,25812.31,17848.01,1752208.35
14.5,652775.48,13220.61,28023.91,24222.74,1861044.84
15,725410.01,17388.73,29901.37,27967.95,2021535.32
15.5,787448.82,24156,30148.53,29348.6,2216251.49
16,817057.43,27965.36,30149.31,30475.58,2347030.35
16.5,821711.72,30229.76,30149.31,30795.14,2386170.76
17,822098.31,30256.89,30149.31,30836.83,2396358.61
17.5,822377.15,30256.89,30149.31,30836.83,2399679.01
18,822528.38,30256.89,30149.31,30836.83,2401018.79
18.5,822539.49,30256.89,30149.31,30836.83,2401849.24
19,822539.49,30256.89,30149.31,30836.83,2401965.26
19.5,822539.49,30256.89,30149.31,30836.83,2401965.27
