Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
15.2,0,0,0,0,0
15.5,0,0,0,0,11.96507
16,1.964473,0,16861.42493,184.851551,763.478477
16.5,15905.73,0,49793.6,79623.57,172013.17
17,74909.7894,463.6576,150511.3229,225105.452,321869.4248
17.5,248747.83,78934.69,485332.28,348287.95,350545.5
18,405477.56,95182.42,614544.75,399255.09,357330.93
18.5,582884.77,95799.56,688545.79,421706.1,361582.79
19,712667.01,95808.81,743594.78,436153.82,388381.62
19.5,822781.82,95808.81,777189.66,447002.27,430972.9
