Grouping,black box woodland,lignum shrubland,mixed woodland,red gum woodland,shrublands
13.42,39745.35,11733.12,236515.35,383727.55,157676.74
14.32,106827.58,32795.07,822917.39,926672.67,297053.1
14.92,119937,115238.3,1151783.9,1440930.1,362644.7
15.21,148661,209313.5,1565090.3,2006648.9,820103.4
15.5,214377,307369.2,1988119.6,2539723.8,2562805.5
15.56,308799.4,470726.1,2639032.9,3060777.3,4027682.7
16.32,917652.4,3137999.4,8998670,6126664,12131308.1
16.38,1089228,3882052,10848593,6814362,15256547
16.5,1319849,4686426,13065985,7491322,20251649
16.62,1597888,5428827,15220543,8026786,24318514
16.80630303,2176517,6294140,16978737,8360086,27886882
16.98206061,2537043,6667141,18402656,8571840,30440079
17.15781818,2926408,6955223,19682842,8719427,32804161
